         x          y          z  Frame
 63.256538  -5.800814 -65.916842      1
  4.436739  12.767678 -34.841231      1
  5.214273  14.546557 -34.823739      1
 12.347812  25.901818 -30.446663      1
 19.605163  33.364029 -22.660740      1
  9.333450   1.870740 -18.283149      1
 39.776354  26.235614 -14.556095      1
 31.944961  30.347292 -26.706584      1
 47.901285   8.473365 -55.144248      1
 71.049856 -10.250929 -47.496424      1
 67.046804 -17.590365 -60.692133      1
 68.324831   1.435310 -26.214673      1
 69.327341   0.310951 -51.446929      1
 57.975537  17.547693 -41.160209      1
 59.998281 -10.228773 -67.413159      1
 41.605809  -0.687617 -55.712153      1
 24.097969  29.729008 -36.891316      1
 69.218004 -18.903893 -54.784473      1
 67.566120  -0.184147 -59.683846      1
 52.062632  14.728640 -50.733080      1
 13.885344   9.192132 -14.013468      1
  2.739939  -1.366759 -26.440094      1
  8.733565  -0.161867 -18.358151      1
 12.911380   4.496972 -11.719417      1
  1.853431  -4.940403 -23.479574      1
  5.390344   0.032523 -17.843723      1
  7.969282   1.997049 -11.568422      1
 10.134372  -4.867526 -10.356938      1
  2.783054  -7.308490 -20.332107      1
  3.880338  -6.772965 -24.535551      1
 20.383259  -3.837431 -14.031483      1
  9.505828  -9.784625 -20.111324      1
 18.600533  19.170703 -12.603305      1
 42.672715  14.284202  -8.826431      1
  5.990917 -11.578097 -15.348678      1
 49.799785  29.724417 -33.551711      1
 26.105207   3.400023 -59.794852      1
 39.942369  26.679984 -45.328484      1
 58.054971   4.683364 -17.850564      1
 56.950488   1.195870 -60.639650      1
 70.787223  -7.010806 -36.797355      1
 65.137473   6.819908 -46.948088      1
 53.245249  -4.692050 -59.217861      1
 62.105332   8.714998 -55.105419      1
 15.002911   5.591985 -52.845476      1
  3.433753  -2.928474 -29.072628      1
  9.395057   3.360701 -45.734562      1
 44.921537   0.547354 -13.449959      1
 29.244954  -1.731816 -13.256981      1
  9.736570  22.472996 -32.459678      1
 70.775887  -6.278864 -49.144239      1
 65.604905  11.216664 -34.581625      1
 21.700175  25.264551 -11.488200      1
 64.787266 -15.397201 -66.020972      1
 67.105387 -12.622788 -65.197836      1
 54.023779  16.603118 -24.677294      1
 70.996647   2.267732 -39.882563      1
 69.488727 -17.615556 -47.823250      1
 62.883580 -13.789391 -21.851303      1
 54.611801  -6.786229 -17.210375      1
 67.134374 -16.586936 -38.810022      1
 17.990374  15.741125 -12.253000      1
 29.290175   9.208898 -11.922372      1
  0.955547   2.786674 -33.468341      1
  2.603888   2.315589 -36.154664      1
 33.669135  21.750733 -62.460579      1
 19.887293  23.221666 -46.578389      1
 67.843372 -14.416969 -51.561195      1
 70.380389 -17.551256 -59.754542      1
 71.174166 -12.358515 -56.797730      1
 19.152568   0.521497 -49.237287      1
 11.467825  -5.392266 -38.768470      1
 13.558743  -1.657624 -45.207401      1
  9.656703  -4.244674 -40.388005      1
 14.823958 -10.049337 -32.853922      1
 23.466607  -5.177490 -22.248254      1
 20.798059  -8.312726 -27.698690      1
 43.904109  -6.645832 -21.564564      1
 32.169264  -4.743291 -22.397829      1
 29.754830  -9.226897 -30.678169      1
 35.799557  -9.982761 -33.216795      1
 23.614746  -8.164076 -38.307297      1
 32.003846 -10.683659 -40.419866      1
 19.671806  -4.488987 -42.052227      1
 26.442184  -5.102886 -45.527615      1
 62.011392 -14.728379 -56.343114      1
 55.742111  -9.584963 -62.597087      1
 64.105574 -16.812146 -53.066747      1
 60.458269  -9.987981 -59.313022      1
 64.153074 -17.904627 -47.872581      1
 50.885284  -5.230852 -56.766031      1
 61.483456 -18.534511 -42.794026      1
 56.677372 -16.544013 -48.580870      1
