         x          y          z  Frame
 60.337003 -10.599920  -5.495677      1
 14.111091   6.402764   9.487780      1
 14.638473   7.093453   9.120474      1
 23.941506  12.618246   9.425830      1
 33.097442  16.908143  12.042906      1
  9.576281   6.237244  28.214203      1
 42.873982  15.547967  23.399386      1
 39.464835  20.055465  13.221514      1
 47.859427   1.457351  -5.894061      1
 68.196355 -13.504322  12.751161      1
 63.424865 -22.578559   2.279070      1
 61.536121  -2.815062  22.405583      1
 66.786096  -4.455056   3.828560      1
 58.266179   9.621456   6.194420      1
 55.416807 -15.079575  -8.011717      1
 41.391224  -6.580821  -5.452158      1
 33.733742  17.206114   3.233404      1
 65.363892 -22.588094   8.197755      1
 64.308043  -7.757928  -0.590526      1
 53.355608   7.431847  -2.615212      1
 19.420450  11.150982  28.342836      1
  6.344302   2.700247  16.262240      1
 10.680701   4.838951  28.759575      1
 23.943118   6.000010  31.967375      1
  7.354662   0.991293  23.344125      1
 11.953375   4.951675  32.087571      1
 20.196090   5.586413  35.145483      1
 23.304599  -1.095874  34.831954      1
 11.172831  -2.851084  25.992764      1
  9.935636  -4.698548  17.806412      1
 26.340253  -2.064163  29.580157      1
 16.285508  -7.246401  23.032900      1
 26.111337  14.507011  26.599623      1
 42.860207   5.832145  25.970530      1
 17.383133  -7.067602  28.282259      1
 50.894042  16.630665   8.893275      1
 31.400134  -3.149968  -1.457029      1
 44.519019  16.180462  -0.992992      1
 52.863643   2.192831  24.239434      1
 54.878800  -5.346136  -5.086277      1
 65.832093  -8.899451  17.677898      1
 63.756299   1.734338   4.202555      1
 49.218726 -10.183731  -7.363158      1
 59.532382   0.035170  -2.108410      1
 22.223278  -1.445263  -0.053806      1
  8.922678   0.046204  14.083815      1
 16.907986  -1.240524   2.388671      1
 43.602459  -0.673096  29.836339      1
 33.216282  -0.598453  29.923964      1
 20.753807   9.602623   9.046358      1
 69.084722  -9.321133   8.744574      1
 61.665874   4.386786  15.780437      1
 32.823492  17.718098  27.945919      1
 61.157759 -19.696577  -2.686396      1
 64.342620 -16.933791  -2.384072      1
 54.642644  11.327428  21.625787      1
 66.155882  -3.215157  12.366786      1
 65.300981 -19.307418  13.590799      1
 57.631372 -10.709754  25.195925      1
 50.223720  -5.800206  28.912886      1
 62.659800 -15.481473  20.577182      1
 25.510238  13.198045  28.404590      1
 34.219656   5.239698  26.932814      1
  9.309864   3.800661  10.314281      1
 10.704085   1.140875   7.685818      1
