         x          y           z  Frame
 75.133707 -38.305873  -92.237344      1
  0.532715 -10.554196  -41.604814      1
  2.388012  -8.242175  -42.540627      1
 12.179964   1.634655  -45.949298      1
 24.681467   3.654316  -42.470879      1
  5.421803 -27.437837  -24.841625      1
 50.927333  -2.407227  -28.602112      1
 43.449359   0.181819  -41.132995      1
 52.339547 -14.563868  -86.071157      1
 88.055879 -49.929306  -70.414794      1
 77.581363 -60.991780  -87.766889      1
 81.888003 -37.943297  -46.004938      1
 84.880248 -31.500090  -77.585664      1
 71.815948 -10.654903  -63.020984      1
 64.516701 -45.692959  -94.378987      1
 40.832197 -29.599807  -91.081821      1
 28.909347  -0.357853  -55.297319      1
 80.712969 -63.561551  -80.825558      1
 83.097946 -33.588626  -86.573889      1
 63.042400  -9.425918  -76.444530      1
 13.911454 -18.911349  -26.477712      1
 -7.287756 -21.861968  -37.058941      1
  6.754631 -31.875183  -26.797062      1
 21.435367 -33.492810  -22.385625      1
 -0.692701 -39.864561  -40.197361      1
 10.383595 -36.458938  -27.240262      1
 19.284969 -36.981437  -20.308567      1
 22.016570 -51.538454  -20.941828      1
  4.080548 -51.340429  -36.901088      1
 -0.625400 -45.153729  -40.507099      1
 24.957301 -47.805348  -25.367363      1
  9.169581 -54.320405  -36.651040      1
 21.810803  -9.477282  -31.503759      1
 52.409891 -23.168011  -21.905709      1
 11.524004 -60.112550  -30.436143      1
 59.964221  -2.618679  -51.877742      1
 21.767609 -23.121883  -85.756715      1
 47.296042  -2.350560  -63.902030      1
 74.571166 -31.150355  -30.748016      1
 64.665707 -27.542340  -90.790956      1
 86.702259 -44.852305  -59.606929      1
 79.907204 -22.412129  -72.290404      1
 54.263376 -37.102412  -93.501444      1
 73.054145 -21.285466  -82.107245      1
  6.543930 -20.163117  -76.375015      1
 -5.225367 -27.937042  -41.648564      1
  1.029717 -21.662861  -64.903528      1
 54.984833 -44.600849  -19.746740      1
 35.358423 -46.001425  -22.861157      1
  8.531103  -4.386834  -43.201570      1
 89.114264 -40.542494  -73.516638      1
 79.843128 -23.246837  -51.460184      1
 31.419732  -7.051497  -27.181715      1
 73.050427 -55.565527  -91.283167      1
 81.937095 -48.892565  -91.512156      1
 70.881748 -13.857682  -39.310306      1
 85.138433 -32.242327  -63.103082      1
 82.041267 -61.616202  -71.055871      1
 74.885409 -56.236084  -44.457305      1
 66.721839 -51.592435  -28.820924      1
 80.416229 -59.065801  -58.803887      1
 20.912987 -16.513681  -27.573614      1
 35.146873 -28.816510  -23.679487      1
 -5.187267 -16.202592  -40.240649      1
 -5.593410 -20.181816  -49.519386      1
 36.753073  -6.846524  -77.482835      1
 18.759418  -2.911112  -63.262187      1
 90.122502 -55.098118  -82.523260      1
 86.037717 -58.609723  -85.445674      1
 89.995776 -46.743727  -84.318895      1
 12.552878 -30.071743  -72.280455      1
  4.033967 -37.780908  -56.641303      1
  5.886614 -30.771571  -64.734272      1
  0.743687 -32.902351  -59.406432      1
 10.399546 -47.185773  -50.580254      1
 25.772605 -49.105513  -34.692109      1
 19.471049 -49.948515  -42.749070      1
 49.442430 -53.817582  -34.398432      1
 36.020669 -48.894006  -35.200211      1
 29.748751 -50.520633  -46.801352      1
 39.430162 -51.751507  -50.067642      1
 19.902686 -46.644938  -56.434758      1
 29.781011 -50.204101  -60.403374      1
 13.690568 -40.475925  -62.231338      1
 21.255305 -42.103639  -68.011112      1
 67.347163 -59.502504  -82.008639      1
 58.230597 -48.540865  -91.133482      1
 72.023364 -62.845312  -77.343143      1
 63.653203 -53.781602  -87.313163      1
 74.230560 -63.030695  -70.985129      1
 49.509577 -45.341981  -87.742036      1
 70.767092 -62.367330  -64.831808      1
 62.997905 -60.070395  -71.332179      1
 57.951575 -56.847963  -76.574159      1
 53.314218 -50.944421  -82.203843      1
 37.380566 -40.613810  -84.549717      1
 48.657953 -54.114490  -71.819953      1
 55.268933 -58.383142  -64.958127      1
 64.878046 -60.033199  -53.340693      1
 42.463208 -48.689261  -77.820691      1
 57.795047 -56.974488  -42.248168      1
 47.520436 -55.739545  -56.384378      1
 39.460312 -52.426167  -66.733038      1
 31.954190 -46.149483  -73.600010      1
 23.788324 -35.740250  -80.570716      1
 70.501239 -79.311673  -72.096359      1
 -7.414199 -58.940068  -40.020204      1
-37.805534 -51.237498  -63.227279      1
-14.982296 -32.841267  -65.816056      1
-30.505325 -65.685983  -86.693821      1
 64.014546 -82.228522  -48.909471      1
 40.022694 -74.988523 -109.359324      1
 -8.538159 -28.474112  -69.082093      1
 48.057566 -90.035708  -58.200615      1
 -6.683579 -38.625085  -54.130883      1
 23.028339 -62.148816    1.723157      1
 45.846415 -53.598145   -6.018427      1
 34.083638 -55.764413  -18.205151      1
 -5.831278 -49.658057  -45.097988      1
  7.537333 -83.743619  -23.122625      1
 51.651055 -79.960082  -23.000517      1
-26.397247 -66.129133  -44.589477      1
 68.757252 -80.547968  -83.422093      1
-12.787270 -62.209190  -38.739245      1
 17.502238 -61.508215   -9.838474      1
 22.640182 -60.300663  -17.563952      1
  1.093222 -75.395361  -35.915983      1
 31.377958 -89.500010  -31.890915      1
 17.104155 -63.350994   -6.132980      1
 37.642503 -57.199399    3.096511      1
 40.931691 -51.978212  -13.844951      1
-11.197311 -71.903435 -100.015001      1
 61.321181 -83.357733  -32.783064      1
 39.868213 -87.654230  -44.335876      1
 10.055556 -92.746638  -69.119710      1
 67.271336 -79.227309  -61.547670      1
 57.396854 -87.834399  -70.054987      1
 10.557898 -72.855473 -101.880455      1
 55.028059 -83.027609  -92.720582      1
 43.974698 -91.366632  -87.591965      1
 28.185661 -72.876430 -106.440444      1
 -4.023404 -39.837721  -52.321301      1
 29.696593 -39.058739  -92.611895      1
 44.372042 -45.716863  -96.894557      1
 12.634842 -30.823897  -89.114701      1
 -2.607650 -26.591767  -80.255856      1
 58.283792 -55.507489  -99.559835      1
 26.137776 -93.214217  -79.132173      1
 -0.571217 -53.569177  -42.751568      1
  8.972202 -65.395174  -36.869298      1
 77.161633 -70.334719  -73.115215      1
-40.308626 -92.102539  -82.391850      1
 71.197409 -67.938214  -47.064112      1
-43.963883 -62.736796  -53.559499      1
 73.912107 -68.854576  -91.619399      1
 77.074489 -71.847594  -80.361593      1
-12.241947 -95.731479  -91.448732      1
 65.676289 -65.782230  -31.328716      1
 31.641303 -86.775811 -103.229824      1
 74.123652 -69.384227  -60.056532      1
 46.596619 -82.564969 -105.666349      1
 21.603316 -62.732420  -29.482285      1
 10.176801 -90.978796  -96.967784      1
 69.473351 -63.164382  -97.812246      1
 36.447953 -53.180975  -22.158369      1
 56.352209 -56.948546  -17.359185      1
-10.163890 -32.207555  -60.142309      1
 -7.654813 -31.411298  -59.761853      1
  2.372712 -39.952901  -70.767945      1
  1.506377 -46.233911  -60.033219      1
  7.184695 -40.453316  -78.197412      1
 -1.359370 -40.723820  -65.022358      1
  9.467797 -55.473658  -51.785859      1
 17.804521 -63.153283  -44.013419      1
 24.663565 -61.598847  -36.310147      1
 34.995897 -60.402082  -35.333128      1
 47.806359 -61.234190  -36.553125      1
 26.542550 -59.605626  -48.193041      1
 36.340612 -61.468615  -51.900156      1
 16.562235 -55.006883  -58.122042      1
 24.980182 -58.533005  -63.724079      1
  9.538765 -50.037037  -65.049331      1
 18.259947 -52.502980  -71.204476      1
 56.307701 -54.646504  -92.670147      1
 69.966867 -69.918280  -73.108879      1
 63.704966 -64.640919  -84.535441      1
 68.598469 -69.783889  -79.069484      1
 60.329908 -59.056440  -90.127960      1
 46.079425 -52.558250  -91.860794      1
 66.452798 -69.467991  -67.152281      1
 51.039175 -59.349085  -85.765621      1
 54.798365 -65.351239  -80.085138      1
 60.277957 -67.677826  -73.390877      1
 34.217480 -49.763914  -88.620740      1
 45.212697 -64.053379  -74.645284      1
 51.739981 -66.344233  -65.741737      1
 62.376439 -68.774302  -54.892624      1
 40.400301 -57.226403  -81.372159      1
 56.614513 -65.551947  -44.345718      1
 44.727332 -64.902967  -57.708266      1
 34.834275 -62.289056  -68.085065      1
 28.234351 -55.472191  -76.095795      1
 18.999731 -45.595749  -83.754190      1
 10.529824 -75.673223  -23.859963      1
 40.570577 -74.835947  -11.808700      1
 51.816379 -57.962078  -12.946087      1
 29.666148 -59.778549  -21.907914      1
 24.848405 -83.714084  -12.074497      1
 40.488715 -55.280475  -17.458626      1
 37.448028 -91.989671  -68.364225      1
 49.211390 -90.645722  -77.723625      1
 24.993797 -92.638586  -56.130777      1
 58.944957 -84.912723  -83.450121      1
 11.403642 -93.215881  -41.267982      1
-11.445855 -91.327985  -55.766261      1
-47.789103 -81.364746  -65.117102      1
-41.051723 -58.949367  -73.138454      1
-13.583537 -43.557323  -87.283407      1
 21.778157 -53.463421  -96.906043      1
  3.556480 -47.987778  -93.035285      1
 35.413274 -58.890050 -103.650121      1
-29.643375 -40.762245  -67.124822      1
 49.841744 -65.344717 -108.076324      1
 61.621808 -74.987473 -105.171637      1
 66.888267 -76.827191  -94.789343      1
-24.376052 -42.633655  -75.732607      1
-16.662976 -84.214818  -43.991173      1
 61.382691 -83.554366  -75.983737      1
