         x          y           z  Frame
 70.166077 -47.108807  -90.546660      1
 13.535813 -25.205305  -49.867722      1
 16.373273 -23.714181  -51.618642      1
 29.821853 -16.957314  -57.695834      1
 40.205734 -13.649426  -41.053383      1
 13.496645 -26.932599  -29.594330      1
 58.557720 -18.967918  -43.626335      1
 51.942249 -12.063038  -50.507232      1
 54.531643 -29.961635  -86.257229      1
 83.507534 -57.373417  -74.480975      1
 73.999380 -63.246151  -87.366483      1
 77.574317 -43.828547  -54.867941      1
 80.196482 -42.529424  -80.874812      1
 72.545668 -24.755299  -71.705754      1
 62.396748 -52.108887  -91.522277      1
 43.082554 -39.725682  -84.753992      1
 40.912390  -9.312490  -61.001612      1
 77.541494 -65.608757  -81.827068      1
 76.588193 -44.441531  -86.917837      1
 63.904542 -24.567094  -79.196607      1
 23.838445 -19.910134  -31.182108      1
  4.161698 -29.728229  -44.999253      1
 14.224740 -32.395017  -31.726676      1
 28.515851 -33.914196  -27.565838      1
  4.161050 -44.578955  -44.023107      1
 16.843291 -38.173210  -30.982007      1
 25.715051 -37.763721  -24.424167      1
 26.874376 -51.546753  -25.169327      1
  8.048685 -54.576039  -39.072223      1
  1.321012 -47.844191  -43.639164      1
 29.362576 -47.184356  -31.839922      1
 11.425263 -56.006912  -39.814446      1
 34.920719 -14.661272  -35.756529      1
 60.112435 -27.899704  -33.361404      1
 14.624135 -61.512901  -33.759576      1
 63.654496 -17.103859  -61.164692      1
 29.999761 -35.220734  -80.776888      1
 51.119687 -16.537472  -71.694463      1
 72.603702 -36.888280  -44.214375      1
 62.812956 -39.889089  -87.011422      1
 80.761082 -52.101164  -65.007389      1
 76.890604 -35.464998  -77.308593      1
 54.823802 -45.734729  -87.700834      1
 69.995941 -36.075206  -82.906999      1
 13.601862 -28.018314  -74.584132      1
  3.223402 -34.485685  -47.596396      1
  6.972923 -28.762023  -66.391442      1
 58.914087 -42.117194  -31.542250      1
 40.186873 -43.901320  -32.543952      1
 22.650618 -21.729252  -50.622918      1
 83.698452 -49.327036  -78.461166      1
 76.084233 -33.236055  -61.344857      1
 39.888077 -13.578851  -33.723180      1
 70.370805 -58.644074  -90.714461      1
 75.145534 -55.605873  -91.615137      1
 70.203668 -26.622206  -52.034885      1
 81.229579 -41.962701  -70.645488      1
 79.591167 -65.044139  -73.631394      1
 71.770912 -57.371758  -52.138673      1
 66.161534 -50.830491  -39.777264      1
 77.029281 -61.032088  -63.267767      1
 32.005450 -18.222587  -32.288555      1
 43.051981 -29.388837  -32.039354      1
  7.161437 -27.852148  -48.433340      1
  2.126291 -28.981685  -54.082263      1
 41.532925 -21.841062  -79.168127      1
 30.187001 -16.109704  -69.809101      1
 81.217387 -61.974955  -84.428425      1
 80.742311 -63.020664  -87.268700      1
 82.772977 -54.176032  -86.090162      1
 20.371304 -37.112969  -70.430534      1
  9.188087 -40.593248  -56.633435      1
 13.098743 -36.474096  -64.723102      1
  5.791466 -37.330739  -59.991504      1
 15.405880 -48.893748  -51.515009      1
 29.985466 -49.088763  -40.307596      1
 23.276228 -51.349418  -46.067726      1
 51.844460 -52.949703  -41.525513      1
 40.198553 -48.132475  -41.991317      1
 33.542364 -50.970671  -50.135480      1
 43.130888 -50.988621  -53.453353      1
 25.298743 -47.737427  -57.810206      1
 34.036321 -51.160005  -61.331543      1
 20.472033 -43.015245  -62.279713      1
 27.738915 -44.676472  -66.911070      1
 64.127254 -61.094773  -80.865577      1
 57.465351 -52.412883  -87.182118      1
 68.852169 -64.001807  -77.536927      1
 61.952140 -54.973293  -84.026423      1
 71.329297 -64.375011  -72.752174      1
 51.380191 -49.040601  -82.554482      1
 68.517964 -62.805013  -67.164893      1
 60.876532 -61.690312  -71.783899      1
 56.075465 -58.226507  -75.778722      1
 52.994623 -53.372123  -79.757913      1
 40.976011 -45.076690  -80.065218      1
 48.934035 -55.471201  -71.455996      1
 54.587412 -58.082242  -65.746164      1
 63.150568 -59.053288  -57.128386      1
 44.311284 -51.091491  -75.206891      1
 57.890628 -55.937492  -48.251381      1
 48.669991 -54.941594  -58.441529      1
 41.239855 -53.899875  -66.915011      1
 36.450750 -48.645391  -71.405941      1
 30.636895 -41.422610  -75.759501      1
 67.402605 -79.450414  -71.854563      1
-10.187386 -58.667630  -42.178808      1
-31.405577 -55.872118  -67.422277      1
-15.872877 -36.718624  -65.057485      1
-28.691891 -70.213881  -83.032867      1
 59.415446 -79.468790  -50.968361      1
 32.949388 -76.930709 -101.987223      1
 -7.057705 -33.912482  -68.283916      1
 43.188512 -85.256004  -56.742279      1
 -8.161239 -40.689065  -53.144926      1
 25.246696 -75.181486   -0.949904      1
 52.341899 -56.716891   -9.068557      1
 33.005283 -48.689648  -22.400932      1
 -8.942355 -49.993467  -45.867430      1
 12.242578 -87.134968  -25.875062      1
 51.087895 -80.003614  -24.378622      1
-23.302530 -68.338554  -50.620326      1
 64.687398 -80.685480  -81.770869      1
-14.350424 -63.304236  -43.185230      1
 13.621851 -62.969536  -14.956232      1
 18.612277 -54.159816  -22.515806      1
  2.164904 -76.686181  -38.264635      1
 32.727282 -92.750508  -29.569025      1
 15.233952 -70.144615   -9.627971      1
 42.868024 -70.689476    0.992202      1
 43.253960 -47.061024  -19.504326      1
-15.187728 -75.330845  -95.107917      1
 57.416076 -80.776189  -36.628379      1
 37.725421 -88.890441  -43.065225      1
  6.657213 -89.040840  -64.572181      1
 63.944402 -78.629639  -61.876017      1
 52.818630 -86.750774  -67.581462      1
  4.606394 -74.221097  -97.688612      1
 48.890159 -84.572416  -87.844555      1
 37.706439 -91.008510  -82.815358      1
 21.872817 -74.018087  -98.795210      1
 -3.681404 -42.371670  -52.059636      1
 31.717429 -47.271384  -89.765471      1
 43.131559 -53.417336  -91.772114      1
 16.201591 -40.502295  -86.925388      1
  0.919179 -34.377665  -79.006577      1
 54.358718 -59.821592  -97.872186      1
 21.752746 -90.608963  -73.201216      1
 -0.919965 -55.122575  -44.210964      1
  9.665606 -66.562125  -38.517144      1
 74.902728 -71.918159  -74.304136      1
-34.508401 -90.338389  -76.027304      1
 67.933158 -68.912674  -50.688135      1
-33.304744 -65.693459  -58.994940      1
 69.613487 -70.034961  -90.733472      1
 74.124324 -73.060948  -80.914860      1
-17.489682 -92.321875  -83.356687      1
 63.425051 -65.649624  -37.811194      1
 24.379873 -84.725579  -94.837298      1
 72.135561 -70.672311  -62.876321      1
 38.673632 -82.678389  -98.796591      1
 23.902988 -63.711760  -32.947870      1
  3.852721 -89.279981  -89.284569      1
 65.174380 -65.874387  -97.496941      1
 39.988328 -51.095656  -29.001942      1
 60.734198 -57.399906  -23.576905      1
 -9.846467 -36.155019  -59.539833      1
 -6.098760 -35.863795  -59.417350      1
  5.369842 -43.267460  -68.505207      1
  4.171714 -47.527059  -58.201121      1
 10.279733 -45.533810  -76.107765      1
 -0.041743 -43.233701  -62.941197      1
 11.268254 -56.583408  -51.554394      1
 19.259854 -65.191059  -44.735203      1
 26.969018 -64.313996  -38.458044      1
 37.449697 -61.515759  -38.797291      1
 47.928117 -63.434065  -40.212607      1
 28.588593 -61.501285  -49.493878      1
 37.831712 -62.794950  -53.012461      1
 19.429641 -56.265661  -57.797998      1
 25.544651 -60.673544  -63.768150      1
 13.043240 -51.468317  -63.372398      1
 20.866482 -54.504054  -69.505047      1
 52.666578 -58.432014  -90.101170      1
 66.492357 -71.735957  -73.420657      1
 58.540524 -67.559160  -83.535576      1
 64.730348 -71.445208  -78.584900      1
 56.130911 -61.885412  -88.286585      1
 43.601454 -57.027962  -88.697265      1
 63.180195 -72.217994  -67.740700      1
 47.044195 -62.421378  -84.209725      1
 50.427592 -68.295928  -79.220997      1
 56.574705 -69.945765  -73.115718      1
 33.336449 -54.668478  -86.006902      1
 41.942709 -67.440624  -74.174250      1
 49.062117 -68.922589  -66.241218      1
 59.998685 -69.395929  -56.445115      1
 38.543566 -60.627414  -79.917185      1
 55.004786 -66.352057  -47.109014      1
 43.846104 -65.982933  -58.552346      1
