          x          y          z  Frame
  83.956796  -4.627847 -53.765566      1
  25.572061  23.549702 -11.687534      1
  28.613709  25.011413 -12.532132      1
  42.394637  32.298023 -12.790501      1
  51.899235  34.482448  -4.665303      1
  18.464302  20.583982   6.344056      1
  69.900599  28.766270   0.875247      1
  63.467942  36.792124  -8.043946      1
  68.447802  15.920849 -41.748036      1
  92.319890 -12.386643 -33.697482      1
  79.591938 -21.174372 -52.418203      1
  89.797875  -2.320448 -11.809767      1
  94.133142   0.018279 -38.865137      1
  86.611949  17.747027 -25.547346      1
  73.287466  -8.395197 -57.433417      1
  56.833113   8.071894 -43.491629      1
  52.864180  40.461330 -20.249553      1
  82.582636 -22.164939 -44.493491      1
  90.569868  -2.306295 -46.135927      1
  78.729998  20.006508 -35.662309      1
  32.550615  27.229313   9.794450      1
  18.185872  19.728066  -3.784784      1
  17.237448  18.050808   6.687873      1
  32.160276  18.061930  12.829364      1
   5.018917  13.890673   3.483800      1
  12.146597  15.295855  10.933549      1
  23.577844  15.889075  15.697683      1
  26.503079   6.312842  11.983233      1
   8.788255   8.584219   3.674624      1
  12.397068  10.201122  -2.097666      1
  34.804666   7.373596   6.956018      1
  18.894447   4.531314  -0.277804      1
  45.337714  32.139237   6.967873      1
  68.912769  16.864232  10.467932      1
  18.288623   2.173249   3.705299      1
  78.863838  28.027162 -17.657715      1
  43.044060  15.063363 -39.171228      1
  67.658201  30.965679 -29.001792      1
  82.809934   6.721417  -1.755404      1
  76.390189   4.699558 -47.061003      1
  93.288624  -9.348707 -22.884343      1
  92.110853   7.514647 -33.423890      1
  66.303875  -0.240282 -49.970822      1
  84.952956   8.641682 -40.729642      1
  29.073034  21.469697 -32.194635      1
  18.085053  16.858013  -5.553166      1
  23.836830  20.408121 -24.152878      1
  64.862304   3.833558  11.117719      1
  45.418121   5.749389   9.416091      1
  36.199672  27.329250 -12.748503      1
  96.117056  -6.047102 -36.624827      1
  90.475861   8.849365 -17.631482      1
  49.274565  33.435637   5.347191      1
  78.337014 -17.144127 -57.787902      1
  86.705514 -13.107518 -56.337542      1
  82.373149  18.742083  -7.526541      1
  94.946264   0.614146 -26.692943      1
  85.080100 -20.115307 -34.559810      1
  79.691032 -13.926908 -10.290262      1
  72.774223  -5.875438   2.450318      1
  84.825027 -18.221285 -22.272378      1
  41.717601  29.262934   9.419039      1
  51.743786  17.919813  10.747071      1
  20.112356  21.146424  -8.069140      1
  18.699111  20.349661 -11.872205      1
  56.717897  27.148268 -38.056530      1
  42.393032  35.605095 -26.516037      1
  88.933075 -15.045793 -46.419168      1
  87.809371 -19.488535 -50.419208      1
  92.948654 -10.732485 -46.219158      1
  33.459544  14.070700 -28.596381      1
  22.784391  11.251252 -15.372614      1
  26.924718  14.231051 -23.271603      1
  21.529037  13.844032 -17.912448      1
  26.086107   5.895295 -11.789848      1
  36.610812   3.176339  -0.001314      1
  31.751280   2.889355  -6.658457      1
  56.359813  -5.079767   0.233262      1
  45.658593   1.033547  -0.551581      1
  40.435389  -0.760973  -9.868459      1
  48.799460  -3.849504 -13.230576      1
  34.727139   4.629232 -17.214441      1
  42.623930  -0.190099 -20.807923      1
  31.686431   8.765541 -21.560666      1
  38.599946   6.824071 -25.687807      1
  70.200711 -17.425467 -42.704446      1
  66.871947  -7.539944 -50.412814      1
  74.324630 -20.341999 -38.991408      1
  69.062837 -11.656484 -47.172926      1
  77.111980 -20.476514 -33.129731      1
  60.868288  -2.310294 -43.722385      1
  74.323740 -18.761740 -26.804813      1
  67.162497 -16.555594 -31.733890      1
  63.168398 -12.559468 -36.310259      1
  61.758928  -6.890664 -40.001645      1
  52.735279   3.453973 -38.422220      1
  56.622126  -8.400168 -31.007181      1
  60.663327 -12.846267 -25.008755      1
  69.333558 -14.954332 -16.255603      1
  53.701574  -2.432004 -34.297240      1
  62.970526  -9.855615  -7.023100      1
  54.720796  -8.816866 -18.368142      1
  49.445524  -4.486878 -26.145900      1
  46.661267   1.611434 -30.399696      1
  43.224149   9.470669 -33.395723      1
  69.595474 -31.814379 -33.659269      1
   1.970655   6.077810  -2.338896      1
 -18.086926   7.275015 -16.604788      1
   6.852764  14.718892 -17.721625      1
 -18.931815  -3.356484 -40.813219      1
  61.960883 -29.743959 -13.331183      1
  40.871981 -23.882317 -67.373903      1
  13.331388  16.512047 -23.358736      1
  46.990687 -30.811019 -20.132011      1
  10.207191  11.805457  -9.060632      1
  25.308318   5.662656   5.342090      1
  45.722333   7.618710  13.359939      1
  32.617953  17.024510   6.002299      1
   4.470407   8.950184  -3.875952      1
   9.197103 -16.531219   9.262964      1
  49.923769 -25.329093  13.334055      1
 -14.815465   1.167485  -4.502560      1
  66.491818 -33.489846 -44.082295      1
  -2.141712   4.634232  -2.163935      1
  20.284504  16.803981   2.694447      1
  24.114199  18.552374   3.158300      1
   6.192955  -8.078059  -0.707378      1
  31.215339 -27.317790   3.220190      1
  19.619767  11.984256   3.779491      1
  36.336364   3.443605   9.586512      1
  40.639875  15.591631   8.312338      1
  -5.089617 -12.153371 -54.312415      1
  57.554368 -28.770551   1.503758      1
  38.981747 -28.189056  -7.504221      1
   9.561870 -27.877899 -27.324927      1
  66.684121 -30.432789 -23.870524      1
  55.223859 -32.473327 -30.348281      1
  14.572160 -16.845273 -58.066988      1
  52.959104 -30.845102 -50.679338      1
  41.946361 -30.345689 -44.828034      1
  30.209053 -19.482252 -63.390024      1
  12.364058  10.897773  -9.080184      1
  44.754655   4.298009 -48.184562      1
  55.142463  -2.670981 -55.291151      1
  30.663058  11.344889 -43.014478      1
  18.304776  17.146617 -34.859088      1
  64.553502 -13.416693 -63.342081      1
  25.716025 -28.268272 -36.150278      1
   9.704988   5.807253  -3.852145      1
  15.640820  -3.242703   0.115669      1
  78.454720 -27.179850 -35.767542      1
 -34.689823 -23.128822 -35.030352      1
  73.517814 -23.391952 -10.951026      1
 -29.467439   1.775893  -8.513655      1
  72.622573 -27.164110 -54.512508      1
  76.953522 -29.231881 -43.263716      1
 -12.134605 -27.820701 -45.694140      1
  66.393165 -17.591951   2.982920      1
  31.075033 -26.728167 -57.637881      1
  76.618561 -25.338043 -23.154855      1
  44.859464 -29.257642 -63.378602      1
  27.631769  -4.034079   4.804623      1
  11.079370 -26.627561 -51.607858      1
  72.219750 -22.022483 -63.619611      1
  42.397271   2.776994   9.755855      1
  60.388956  -6.683298  16.626282      1
  10.840048  15.111741 -14.665919      1
  13.530057  15.068536 -15.499899      1
  20.285302   9.342141 -26.282134      1
  17.287030   6.878787 -17.216360      1
  24.645311   7.998847 -32.619104      1
  16.234773   9.582129 -20.113856      1
  21.247479   0.956580 -12.213093      1
  25.371871  -5.995194  -6.752751      1
  31.113611  -6.747852  -0.508170      1
  40.694536  -7.774978   0.440435      1
  50.920850 -12.179719  -0.362261      1
  34.768765  -6.371037 -10.731674      1
  43.034863 -10.365231 -13.962746      1
  28.580350  -0.888435 -18.110842      1
  34.746599  -5.259230 -23.036406      1
  24.112411   2.720249 -22.688977      1
  31.471358  -0.053155 -28.199266      1
  62.270361 -11.113187 -52.550505      1
  70.704286 -25.997424 -34.577607      1
  63.649262 -21.647929 -45.532109      1
  68.821662 -25.989507 -40.063573      1
  63.787354 -15.920613 -51.206681      1
  54.596769  -6.212360 -48.543243      1
  67.733591 -24.234015 -27.963511      1
  55.704305 -13.044968 -44.868830      1
  57.022468 -18.604155 -39.518810      1
  61.735182 -21.884501 -33.546251      1
  45.809062  -1.248578 -42.642123      1
  49.811212 -14.709723 -33.269614      1
  55.083452 -18.414942 -26.278558      1
  63.931382 -21.829699 -17.016972      1
  48.668419  -8.220879 -38.621782      1
  58.603515 -16.939086  -8.189307      1
  49.071875 -15.076240 -18.981087      1
  41.870482 -10.730994 -27.379892      1
  39.782269  -4.385082 -33.014886      1
  33.960340   3.345151 -38.127766      1
  13.496241  -8.285625   6.040723      1
  41.176359 -19.220481  22.736295      1
  54.327522  -2.891493  18.806450      1
  32.955803   2.509773   8.050863      1
  24.114384 -23.498998  16.716132      1
  44.125245   2.770255  12.344534      1
  35.810532 -29.666071 -27.147806      1
  47.146249 -31.449600 -36.446422      1
  23.898004 -28.054079 -16.491973      1
  56.819728 -32.084066 -42.575436      1
  10.939457 -24.806426  -4.576478      1
  -8.866470 -22.837661 -14.123809      1
 -37.202547 -12.153275 -18.526002      1
 -24.066043   2.837460 -26.927864      1
   1.826612   8.142443 -40.642432      1
  30.349680  -4.646050 -54.363519      1
  15.466006   1.799342 -47.947209      1
  42.331483 -10.390812 -61.030818      1
  -8.333550  11.638246 -17.475830      1
  53.279367 -19.026903 -69.157970      1
  60.202624 -28.832164 -66.536680      1
  64.601067 -31.058298 -55.005081      1
  -5.663716  10.635347 -27.542076      1
 -11.872995 -14.959207  -5.238729      1
  59.719109 -31.541287 -36.194862      1
  21.527146  -3.999657   5.615715      1
  67.073421  20.037397 -47.157646      1
  95.817182  -1.838206  -7.658972      1
  92.544924  22.127871 -23.959810      1
  54.928668  10.975374 -47.311883      1
  81.957716  27.409988 -38.915929      1
  83.630826  33.005506 -15.363664      1
  41.042529  19.879591 -43.662750      1
  70.056595  39.751232 -31.458062      1
  89.053375   8.440533   4.329549      1
  74.815753   8.411681 -51.099321      1
 100.253267  -9.106226 -19.212743      1
  97.639275  11.670321 -31.076365      1
  64.116572   2.396841 -53.142774      1
  88.490625  14.512685 -44.676017      1
  96.460609  10.671833 -14.567296      1
  88.455695  21.678912  -4.640160      1
 102.230972   1.419991 -23.908594      1
  55.303940  32.196265 -43.231341      1
  84.000135  -2.503569 -57.646300      1
  99.731281 -13.388043 -33.051159      1
  99.463180   2.783207 -37.993613      1
  73.541473  -6.973093 -61.219614      1
  94.348553   0.656448 -49.128314      1
 103.401518  -5.398161 -35.844656      1
  82.531498 -18.198007 -63.408513      1
  90.696607 -14.675181 -58.003698      1
  96.249623 -16.079535 -46.015947      1
  91.826043 -19.845745 -53.028178      1
  98.166172 -12.151504 -48.491802      1
  91.873957 -21.504537 -32.440211      1
  85.792837 -14.027205  -5.506906      1
  79.739742  -5.179563   6.468738      1
  92.152744 -19.177144 -17.338430      1
  71.215991 -33.898870 -33.457170      1
  64.319997 -32.955615 -11.529480      1
  39.729707 -23.739732 -70.444818      1
  46.719818 -33.683160 -19.615853      1
  67.740067 -36.032010 -44.600929      1
  -9.424592 -11.717543 -57.638173      1
  60.236118 -32.324626   3.159961      1
  38.719954 -31.725270  -6.330950      1
   7.770189 -31.888890 -27.713215      1
  68.531407 -32.899838 -22.311328      1
  54.857497 -35.281098 -29.957747      1
  10.682960 -16.338066 -61.721406      1
  52.308658 -35.109911 -51.581682      1
  40.794769 -33.627073 -44.785319      1
  26.893654 -19.287058 -66.810936      1
  42.739514   5.653137 -50.190902      1
  53.030919  -1.773583 -57.805398      1
  29.321734  11.818388 -44.391816      1
  63.535125 -13.196612 -66.788799      1
  24.273860 -31.813215 -37.149851      1
  75.691293 -25.766263  -9.507103      1
 -17.298883 -30.230146 -47.720351      1
  69.304924 -20.803706   5.830395      1
  28.484337 -29.444291 -59.760829      1
  79.117142 -28.446152 -21.871084      1
  42.572135 -31.914064 -65.986900      1
   7.338953 -29.274187 -53.385825      1
  74.896155 -30.816281 -57.195334      1
  73.076262 -25.668164 -68.385956      1
   0.633033   7.117041  -1.637536      1
  15.120633  20.709185   8.390462      1
  30.225848  28.243049  11.476249      1
  13.939873  19.815689  -1.990473      1
   9.246773  12.820574  -8.002641      1
  14.804007  18.805957   8.442778      1
  30.726294  18.239984  15.356843      1
  31.575484  18.713397   5.322687      1
   3.699106   9.352533  -2.968149      1
   2.489041  15.621427   2.286332      1
  11.485747  18.085021  11.309754      1
  25.626182  16.681646  17.232222      1
  28.935722   5.007540  12.634024      1
   6.389021   7.341036   3.375308      1
   9.192706   9.565469  -2.025945      1
  34.995162   6.151848   7.651360      1
  18.706492   2.238565   0.848542      1
  -3.945929   5.849205  -1.266951      1
  18.261245  17.491182   2.204255      1
  23.136292  20.390978   2.559142      1
   3.890577  -6.142572  -0.232906      1
  43.328529  13.815896   9.396493      1
  16.092069   0.152062   3.185676      1
  12.869107  15.794037  -4.399444      1
  11.465469  12.524272  -7.897141      1
   7.986735   6.536965  -3.057739      1
  14.398307  -2.074753   1.038014      1
  45.226628   8.788342  12.723871      1
  26.499909  -1.141968   4.965631      1
  43.017549   5.418491  10.536755      1
  40.034068  29.385129  11.519948      1
  49.417449  20.041012  14.121474      1
  15.006392  21.387335  -6.051161      1
  10.578846  16.665999 -13.990618      1
  12.990202  19.641097 -10.793795      1
  12.514920  16.678587 -14.818974      1
   6.135281  15.994848 -16.498497      1
  18.801988  25.493062 -10.347445      1
  12.415666  17.779790 -23.522261      1
  17.693024  23.331489 -23.514452      1
  49.318475   5.326758  15.838934      1
  48.817509  31.944090  11.901189      1
  74.448419  20.263873  14.844527      1
  69.429664   5.803704  16.612932      1
  63.289687  -4.773878  18.248702      1
  25.276437  28.373853 -13.033106      1
  43.135241  40.430017 -10.440382      1
  46.286214  38.394451   0.059732      1
  72.723270  32.607006   5.727864      1
  66.456926  43.685424  -5.606696      1
  51.732267  48.070063 -20.145122      1
  25.317039  26.931521 -34.146532      1
  31.285144  33.217111 -13.471244      1
  52.381704  37.923612   7.039015      1
  39.060247  41.875204 -29.099806      1
 -22.805214   7.450142 -17.459423      1
 -23.178939  -3.183989 -43.770982      1
 -14.969333 -14.662010  -3.918912      1
 -17.519517   2.201186  -2.477470      1
  16.119080  17.936913 -35.490330      1
 -41.089358 -25.464741 -36.669048      1
 -33.525496   2.679672  -5.917194      1
  25.966578   2.729733   6.773575      1
  50.989867 -29.417890  16.993127      1
  30.517827 -30.987156   3.783537      1
  17.276451  12.481871   3.578774      1
  38.093568   1.059477  12.047221      1
  11.621866  -6.442235   5.318983      1
  31.386968   2.760334   6.981526      1
  20.351518  -1.133782   4.953437      1
  44.418422   5.072755  11.672447      1
  41.847004 -22.095837  24.122324      1
  58.216427  -2.513004  20.237013      1
  23.906685 -26.380784  18.415115      1
   6.729320 -18.206054   9.659523      1
 -28.239827   3.278599 -27.234336      1
 -42.149308 -11.976251 -16.063698      1
 -12.495596 -27.230484 -14.334806      1
   9.841099 -27.799320  -3.833042      1
  23.224678 -30.827409 -16.366810      1
  35.149859 -32.604704 -27.464707      1
  47.030053 -34.110659 -36.462440      1
  79.410791 -31.559920 -44.462719      1
  56.573111 -35.541248 -43.305874      1
  88.335874 -23.152335 -45.001756      1
  84.122240 -25.578348 -54.757530      1
  80.905880 -29.256571 -33.012386      1
  12.195427   3.409373 -51.281276      1
  -1.941037  10.077303 -43.581485      1
  27.891001  -3.744255 -57.060538      1
  39.902716  -9.509851 -63.426790      1
  52.722877 -19.231398 -71.384407      1
  64.490744 -34.021958 -56.209684      1
  59.362739 -31.700916 -69.209493      1
  -9.886921  12.946462 -18.475106      1
  -7.778628  11.967762 -29.039346      1
  59.804318 -34.729608 -36.488379      1
