         x           y          z  Frame
 41.543129  -59.187412 -39.347239      1
-11.853961  -12.530148  -3.088985      1
 -9.902983   -8.865470  -5.081504      1
  5.105616    1.658278  -7.094339      1
 11.076814    1.737248   0.810619      1
-14.280039  -20.808878  18.636490      1
 33.672712   -4.029698  14.871711      1
 29.606502    2.007853  -4.177371      1
 30.461438  -39.642147 -32.026642      1
 49.254992  -67.463714 -27.626841      1
 35.102356  -75.156225 -39.134616      1
 51.337757  -55.320296   1.014490      1
 46.668921  -51.884449 -31.690794      1
 45.586320  -31.443659 -17.463949      1
 35.016807  -64.723563 -40.345713      1
 18.664065  -47.762338 -37.431955      1
 17.999456    4.147690 -18.680993      1
 34.721485  -74.936783 -35.482812      1
 42.921456  -55.063479 -36.840777      1
 37.308246  -35.035280 -25.046369      1
 -8.640665  -16.864634  17.040367      1
-20.211998  -21.899703   7.741054      1
-14.070627  -23.376405  20.651773      1
 -3.068393  -25.789495  26.887154      1
-23.559843  -26.436903  21.627644      1
-13.701941  -22.939477  29.788077      1
 -5.083742  -24.887891  33.093900      1
 -3.974619  -38.849689  32.605598      1
-20.798069  -36.745465  22.819379      1
-25.520897  -40.867644  10.964578      1
 -4.714131  -43.145978  23.958627      1
-19.974862  -47.337931  15.771002      1
  1.628607   -8.609724  14.070859      1
 27.941291  -26.495225  29.619582      1
-15.411093  -47.132837  23.531967      1
 41.127368  -12.679298 -11.928416      1
  3.697957  -36.083760 -35.233620      1
 32.525837  -15.809433 -22.548944      1
 44.158945  -40.979510  18.286890      1
 36.389241  -54.084429 -32.203875      1
 49.222890  -65.470208 -13.964985      1
 43.064487  -45.054276 -24.592739      1
 29.332830  -59.047985 -35.561637      1
 40.361699  -47.859841 -27.439374      1
-13.782891  -22.343664 -33.473183      1
-19.938115  -27.381966   4.750197      1
-17.114322  -23.793061 -22.127215      1
 22.189357  -46.992904  25.565532      1
  3.177706  -45.329698  22.984652      1
 -3.707554   -5.595571  -6.578101      1
 43.458098  -58.653755 -31.701180      1
 48.366925  -38.004989  -8.503718      1
  7.589799   -3.215254  10.103628      1
 36.265624  -70.612387 -41.816755      1
 41.752523  -65.556498 -44.324272      1
 46.629322  -22.670892   2.277817      1
 45.266664  -50.699499 -21.821907      1
 41.134152  -82.040111 -24.675500      1
 34.789755  -72.177987   5.276363      1
 27.820848  -62.087817  20.189318      1
 38.679298  -78.007617 -11.680095      1
 -2.704540  -13.351521  17.589255      1
  8.801907  -29.684525  23.999472      1
-16.906986  -17.632444   1.860073      1
-19.256641  -22.230800  -4.995133      1
 20.776962  -20.114408 -32.737295      1
  7.538067   -3.143354 -25.733917      1
 38.829551  -69.884857 -37.258637      1
 41.070659  -73.191134 -41.579290      1
 45.176016  -63.746787 -39.326224      1
 -7.375996  -35.982742 -24.636219      1
-19.333126  -37.972761  -8.395294      1
-15.080084  -33.633664 -19.077671      1
-20.521956  -34.271509 -12.675339      1
-15.363348  -45.306456  -1.534640      1
 -3.994312  -45.797413  13.787767      1
 -8.983195  -46.819936   5.703708      1
 10.392517  -60.791992  15.980092      1
  2.818213  -49.049165  12.646032      1
 -1.223170  -51.393787   2.159906      1
  5.158287  -57.969574  -0.778534      1
 -7.761943  -46.526175  -8.537347      1
 -0.217174  -55.327680 -11.470073      1
-10.313747  -42.780491 -15.203995      1
 -5.641292  -46.372093 -20.322198      1
 27.211757  -74.521837 -34.958757      1
 28.940984  -64.042328 -36.559822      1
 30.580659  -79.403167 -29.986502      1
 33.791592  -65.676474 -34.032757      1
 31.800359  -80.636906 -24.172024      1
 23.490659  -59.419238 -34.159076      1
 27.380115  -77.881823 -16.582208      1
 22.342448  -73.697607 -23.166003      1
 19.237686  -70.544088 -29.093966      1
 19.900481  -64.907803 -32.474945      1
 11.062273  -52.063219 -34.395165      1
 12.371162  -65.956372 -23.925762      1
 15.943007  -71.618186 -14.537614      1
 22.353317  -77.520109  -2.390943      1
 10.450672  -59.795460 -28.684588      1
 14.440070  -69.473163   9.942396      1
  9.625307  -67.379929  -5.364221      1
  5.897217  -61.093086 -18.273599      1
  1.410457  -55.262062 -25.170869      1
  0.191895  -42.329194 -31.277758      1
 18.119868  -91.080674 -24.178292      1
-37.105777  -55.869902  14.276359      1
-62.792671  -48.244327 -16.121842      1
-37.178177  -34.003502 -17.074798      1
-67.229128  -58.751214 -39.931298      1
  5.754775  -82.792281  -1.665692      1
 -3.918631  -86.465531 -52.707998      1
-29.834268  -30.514619 -22.463432      1
 -8.770567  -86.830650  -6.956348      1
-29.908549  -38.776251  -4.221824      1
-13.318632  -65.705372  52.258485      1
  0.092134  -64.272624  54.264613      1
 -8.588586  -55.158893  51.298369      1
-32.779265  -48.004483   4.663838      1
-34.575444  -75.709345  28.302466      1
  0.287932  -84.129069  30.838551      1
-60.600230  -63.058549   6.069930      1
 18.185523  -95.565439 -34.433385      1
-46.296004  -60.096754  14.983660      1
-15.671681  -60.837693  51.402982      1
