         x           y          z  Frame
 29.087699  -60.978111 -32.058732      1
 -1.584986  -13.828388 -12.229244      1
 -0.165829  -11.081903 -11.140786      1
 10.239301    6.491745  -1.941160      1
 13.984015   11.432923  -1.410335      1
-12.088258  -20.091172  17.168877      1
 18.508654   -6.875390  11.624685      1
 18.193645    1.130950   2.388061      1
 22.785354  -32.154343 -27.237247      1
 38.559321  -69.198077 -11.071512      1
 21.876143  -80.830549 -26.710872      1
 43.288999  -53.187267  13.907045      1
 43.645581  -51.295215 -20.218178      1
 38.450483  -26.413292  -8.511272      1
 21.697814  -65.179029 -32.833963      1
 11.443140  -45.525814 -28.122281      1
 16.195372    1.679732  -9.375419      1
 22.527243  -80.723304 -19.620670      1
 40.315971  -55.317711 -28.742813      1
 30.308809  -28.667211 -18.071896      1
 -9.110058  -12.987107  20.218382      1
-18.336055  -29.170936   6.910455      1
-12.763613  -24.856454  20.163934      1
 -3.531469  -25.878167  28.544120      1
-23.679664  -30.864780  19.222856      1
-11.542148  -25.858369  27.659515      1
 -3.845478  -26.179306  32.833300      1
 -4.578619  -44.050222  33.826936      1
-20.104644  -41.806054  22.478496      1
-24.698565  -43.058432  12.707749      1
 -6.731552  -45.493536  25.396269      1
-20.519596  -51.130029  18.571546      1
  0.083715    1.190203  24.482233      1
 15.947126  -21.074177  22.073196      1
-16.805882  -52.250544  26.269129      1
 26.792704  -15.964254  -4.241503      1
  2.275550  -33.119614 -27.139204      1
 20.802087  -14.609179 -10.656732      1
 34.578955  -38.794154  19.270076      1
 27.270331  -46.742845 -29.928198      1
 42.831250  -66.191226   1.970362      1
 41.637468  -41.286115 -14.229392      1
 17.271520  -54.356670 -30.638017      1
 35.265789  -40.031004 -21.891229      1
 -7.848545  -24.928338 -26.189952      1
-20.073207  -33.067322   3.010410      1
-13.282950  -26.148842 -19.970203      1
 13.370140  -40.505326  19.093638      1
  0.048248  -44.998201  22.669906      1
  7.291461   -0.501940  -8.427799      1
 45.568341  -60.551189 -16.974761      1
 43.812037  -34.864368   2.122534      1
 13.372226   18.602087  22.166999      1
 23.234324  -76.447980 -30.938316      1
 30.930172  -72.312635 -33.525922      1
 32.814460  -21.391064   8.063105      1
 46.953428  -49.413706  -6.691607      1
 24.892612  -75.070342 -10.816341      1
 22.748945  -67.754796  15.065181      1
 19.365073  -56.455098  21.882378      1
 27.496909  -75.044518   2.420079      1
 -5.318622   -8.136280  22.889536      1
  3.826750  -24.894641  23.723367      1
-12.387386  -27.375311 -10.413493      1
-16.534821  -25.111674 -10.784238      1
 16.972901  -19.831946 -23.051032      1
 10.386373   -5.758542 -16.222975      1
