          x          y          z  Frame
  96.634852  -2.216215 -24.326608      1
  21.320061  -4.714491  22.526629      1
  22.670298  -2.818834  23.222899      1
  35.063184   2.848523  26.971441      1
  40.627198   8.036825  30.341394      1
  28.663579 -19.274965  36.437648      1
  71.130323  13.749229  41.017956      1
  58.871949  19.666993  28.420410      1
  68.405426  11.830363 -16.218504      1
 111.653600 -10.547997  -5.519855      1
 108.029156 -17.345650 -24.259531      1
 106.653500  -4.700596  20.634240      1
 104.824128   5.520747 -10.257911      1
  87.674082  20.074150   7.872685      1
  90.286707  -7.285310 -28.611955      1
  63.546102  -2.914024 -21.592573      1
  46.856853  14.433949  15.177435      1
 112.822402 -19.426938 -16.937283      1
 102.455099   2.988971 -18.645617      1
  76.911225  18.785403  -5.262044      1
  41.773785 -12.730039  39.658827      1
  25.948652 -16.725380  28.620271      1
  28.612908 -22.981969  38.265683      1
  43.060925 -22.814335  47.812940      1
  16.347933 -28.309178  36.564152      1
  22.026767 -28.829536  45.804622      1
  34.015034 -28.037479  52.425323      1
  42.235922 -35.527069  48.769660      1
  23.230074 -35.577613  36.513494      1
  31.185254 -26.005451  26.016753      1
  53.361279 -27.880497  40.555490      1
  40.056633 -32.567973  29.209849      1
  51.502317  -2.230671  42.620783      1
  80.113744  -2.596881  49.061915      1
  38.684854 -39.224220  35.863898      1
  73.060387  22.727136  18.960086      1
  46.335256  -2.454799 -14.440103      1
  60.256849  20.362763   5.738434      1
  97.530729  -2.278511  35.322063      1
  84.325757   4.426641 -20.285557      1
 111.196919  -8.472106   6.625770      1
  98.408547  12.322638  -2.532802      1
  78.033529  -5.131063 -23.792122      1
  89.323225  12.164033 -11.873269      1
  32.126345  -2.801219  -4.956486      1
  28.733939 -16.273377  24.623338      1
  27.375097  -5.687114   3.384043      1
  86.008114 -18.032558  48.835323      1
  64.967019 -24.546151  43.190978      1
  29.127837  -0.339585  24.809082      1
 110.573011  -2.437066  -8.649460      1
 100.118367   9.859653  16.577190      1
  52.684519   5.654828  40.007753      1
 102.160773 -12.288389 -28.526789      1
 106.555016  -7.378069 -28.529828      1
  88.171216  13.169700  30.475384      1
 106.578486   3.686212   3.633398      1
 113.362600 -18.162736  -6.466251      1
 107.507504 -19.494638  21.057907      1
  97.643730 -19.862067  37.358596      1
 112.562031 -18.850744   7.166733      1
  48.811692  -8.016748  42.888594      1
  64.007856 -12.903827  45.798877      1
  19.452966 -10.967650  23.388491      1
  21.367409  -8.232543  17.095610      1
  50.562474  15.448597  -7.993346      1
  39.624375   6.618583   8.062209      1
 113.217312 -11.304817 -18.152189      1
 114.582744 -14.599346 -23.610895      1
 112.143682  -5.336565 -19.748247      1
  40.147961 -12.345526  -3.274551      1
  35.905088 -18.342381  10.355342      1
  34.649213 -13.632006   2.576374      1
  31.737863 -14.685915   7.614201      1
  44.403455 -26.862622  14.665307      1
  56.599626 -27.567036  30.328297      1
  51.923830 -28.748526  21.731917      1
  81.297247 -25.158694  31.273441      1
  66.802438 -25.663715  30.220750      1
  61.315827 -29.225962  17.765299      1
  70.367745 -27.079150  14.164541      1
  50.992808 -26.332286   7.837174      1
  60.807562 -27.012634   3.844030      1
  44.369795 -21.250598   3.194323      1
  50.629395 -20.536055  -2.735361      1
  97.228441 -20.254958 -17.653320      1
  85.252926 -12.012609 -24.502158      1
 103.462356 -21.457366 -12.883544      1
  91.109538 -15.343930 -22.238397      1
 106.462671 -21.587981  -6.230087      1
  76.450248 -12.930181 -20.678255      1
 103.657314 -22.307513   0.342114      1
  94.048709 -22.824520  -6.701369      1
  87.511422 -21.116787 -12.461397      1
  81.266149 -17.361282 -17.121147      1
  63.900492 -12.815272 -17.616743      1
  78.502297 -23.679527  -7.657550      1
  86.389340 -25.235380   0.461111      1
  97.320366 -24.306053  12.406067      1
  71.013886 -20.017732 -12.689195      1
  89.397908 -24.781135  22.795529      1
  78.561572 -27.197418   8.503401      1
  69.829328 -25.657825  -2.425150      1
  61.205983 -21.084358  -8.280485      1
  51.864265 -12.790564 -11.045660      1
 112.973559 -37.659586  -7.348069      1
  31.827847 -35.706236  19.592257      1
  -0.606537 -33.437188  -4.701564      1
  15.011739 -10.740699   1.382907      1
  11.496234 -43.522873 -24.612169      1
 107.845635 -44.312639  15.677867      1
  74.840885 -36.946696 -43.724362      1
  20.099010  -8.727454  -0.632774      1
  94.109824 -51.814563   6.009042      1
  27.032116 -15.974583  13.507197      1
  59.020082 -52.299728  55.725607      1
  72.690610 -38.983725  62.299955      1
  54.901474 -35.479289  52.134297      1
  28.902282 -27.061520  19.143781      1
  53.426219 -56.159258  35.379898      1
  94.512881 -49.794015  44.901732      1
  22.468988 -46.482283  11.270187      1
 108.811753 -38.715265 -19.601580      1
  31.015177 -40.174221  18.154969      1
  47.091374 -46.450673  49.805328      1
  48.743492 -40.696955  48.767630      1
  45.016551 -49.098890  23.960854      1
  77.984654 -55.070823  31.404295      1
  50.376174 -50.594422  51.140877      1
  68.153470 -48.528288  60.992383      1
  62.356076 -32.397763  56.425901      1
  30.681104 -44.897479 -33.080700      1
 102.207401 -46.724077  31.201855      1
  84.788824 -52.524535  18.765576      1
  58.544299 -55.452627  -5.766716      1
 111.681209 -39.653917   4.036165      1
 101.433203 -48.461966  -5.795445      1
  47.915924 -43.053438 -39.120196      1
  93.996073 -42.649006 -28.481192      1
  86.722026 -54.043252 -25.211421      1
  63.792640 -38.602823 -42.506729      1
  29.943236 -18.234481  15.268443      1
  56.788911 -11.491660 -25.066868      1
  70.771899 -13.582714 -28.898475      1
  40.757364 -10.946150 -18.590392      1
  25.926921  -9.145621  -9.980231      1
  86.616796 -14.690427 -34.957406      1
  72.673234 -57.136965 -15.700514      1
  33.340699 -31.259296  21.862153      1
  44.453664 -40.270031  26.964298      1
 115.334386 -27.312261  -8.286394      1
  17.128694 -63.063003 -21.189934      1
 111.505846 -30.682883  19.465398      1
   4.295821 -46.297920   2.092750      1
 106.471171 -25.501680 -27.934915      1
 114.531039 -28.545902 -16.768683      1
  36.004329 -60.040059 -28.628298      1
 101.988474 -31.485362  35.912098      1
  71.891394 -51.024633 -41.520288      1
 115.074742 -27.662862   6.207295      1
  83.775180 -41.710547 -41.210733      1
  55.623906 -38.102325  35.685855      1
  52.830267 -55.865374 -34.247253      1
 100.069488 -17.313141 -34.137770      1
  65.713979 -29.865726  45.141012      1
  93.135352 -29.945074  55.780117      1
  20.293702 -11.025494   7.652246      1
  22.895915 -11.061137   8.164560      1
  34.010932 -18.168928  -3.263952      1
  36.072018 -23.228948   5.964201      1
  37.659143 -18.149969 -10.384797      1
  31.027596 -18.018763   2.363473      1
  45.187012 -32.045798  12.518502      1
  53.744880 -38.657928  19.320099      1
  59.482092 -37.676613  28.688142      1
  69.225257 -34.605081  29.802084      1
  81.621086 -32.038742  29.272378      1
  61.068734 -36.276114  15.361253      1
  70.592100 -35.375853  12.244579      1
  50.646130 -32.439649   5.588611      1
  58.248476 -33.441909  -0.065873      1
  43.309880 -27.361721   0.387015      1
  50.562425 -28.130268  -6.186701      1
  84.100785 -17.330794 -27.884258      1
 106.849108 -28.335137  -8.286949      1
  95.232419 -26.305604 -21.053019      1
