         x          y          z  Frame
 59.680062  -2.083584 -64.281980      1
  3.419980   8.991185 -32.608537      1
  3.323992  10.298203 -33.159179      1
  8.974227  23.987125 -31.804646      1
 18.314577  31.590637 -24.366871      1
 11.066822  -1.312431 -19.191427      1
 38.667624  28.808495 -17.670534      1
 30.277676  31.105834 -27.750924      1
 41.866483  13.072014 -59.163127      1
 68.778155  -7.551835 -43.770975      1
 66.655422 -17.810716 -60.548341      1
 67.229435   4.402396 -24.887609      1
 66.049083   5.560808 -51.264812      1
 52.534240  22.779047 -41.905087      1
 55.965445  -8.353442 -65.438553      1
 36.088898   0.851862 -59.531957      1
 20.602369  30.423366 -41.113325      1
 68.043531 -18.404104 -53.513632      1
 64.652802   3.320233 -58.952331      1
 47.529030  20.563175 -52.575068      1
 13.515460   7.393880 -19.461171      1
  2.598429  -2.025637 -29.425373      1
  9.806256  -2.311258 -18.934046      1
 12.501133   4.207823 -14.279710      1
  0.900920  -4.338542 -23.999585      1
  5.887218  -1.241793 -16.330048      1
  8.107592   2.305355 -12.027348      1
 11.054125  -3.760630 -10.680179      1
  2.533234  -7.202662 -19.933560      1
  3.647932  -6.838240 -27.222643      1
 19.795875  -3.749105 -15.328866      1
  9.060664  -9.571716 -21.911727      1
 16.941117  16.815606 -19.339642      1
 40.227598  13.885826 -15.021989      1
  7.206874 -10.775914 -15.780576      1
 43.782227  28.840976 -35.406182      1
 22.465242   4.017626 -60.079074      1
 36.081678  26.112757 -47.858560      1
 56.374428   8.874501 -19.859661      1
 51.717006   2.341591 -56.323063      1
 68.952687  -3.270038 -34.549856      1
 60.846916  12.305313 -46.653700      1
 47.179984  -3.765261 -59.332276      1
 55.087615   9.265152 -53.067591      1
 10.126458   6.246728 -56.121830      1
  3.035684  -2.383240 -31.662620      1
  5.346924   4.109991 -49.321992      1
 43.557994   1.654031 -14.212560      1
 28.096600  -1.813060 -14.847044      1
  6.128690  15.797334 -32.202417      1
 70.445166  -0.069745 -47.684755      1
 61.426022  16.073346 -32.836569      1
 19.679897  22.363179 -16.745611      1
 63.865457 -14.172093 -65.448136      1
 67.101448  -9.271618 -65.361960      1
 49.626977  20.974283 -26.813787      1
 67.708174   7.114671 -40.230303      1
 67.641809 -17.054132 -44.116889      1
 62.868966 -14.792129 -22.309757      1
 54.206472  -5.549363 -17.585557      1
 65.297770 -14.975192 -34.062672      1
 16.643612  11.931149 -17.681433      1
 27.564106   8.171747 -15.747196      1
  1.002456   3.295883 -33.264730      1
  0.917181   3.420934 -39.055292      1
 30.066024  20.966424 -59.337192      1
 15.092116  21.961257 -47.939223      1
 70.209119 -12.287507 -53.341390      1
 70.558713 -15.208153 -59.049273      1
 70.841622  -6.078864 -55.990598      1
 15.771710   0.451291 -50.588491      1
  9.430812  -4.255815 -40.283553      1
 10.636786  -0.966211 -46.880760      1
  6.876885  -2.303544 -43.875131      1
 13.827513  -8.555198 -33.823807      1
 22.100629  -5.346869 -21.906786      1
 19.326214  -7.793807 -27.535576      1
 41.779320  -6.578539 -20.834796      1
 30.875795  -4.719031 -22.064903      1
 27.583022  -8.548840 -29.885044      1
 35.672514  -8.940361 -31.418272      1
 21.265874  -7.389321 -38.112184      1
 29.173041  -9.831470 -39.712477      1
 16.996361  -5.001470 -43.345374      1
 23.356561  -4.683916 -46.348167      1
 58.704478 -15.008606 -54.894989      1
 51.433715  -9.041851 -61.446668      1
 61.269738 -17.037356 -50.441878      1
 56.066682 -10.411336 -58.613234      1
 62.264258 -17.986001 -44.625679      1
 45.593536  -5.099873 -55.932370      1
 59.195787 -17.793126 -39.549132      1
 54.027464 -15.859607 -45.351052      1
 50.357586 -13.780222 -50.518445      1
 47.787151  -8.576698 -54.040343      1
 34.661886  -4.075634 -56.291117      1
 43.379191 -12.559382 -46.752156      1
 47.416331 -15.940648 -40.593883      1
 53.691133 -18.225169 -29.768979      1
 39.251687  -8.512883 -50.901282      1
 48.664055 -10.938967 -24.819301      1
 41.574772 -12.919333 -34.708039      1
 36.108247 -12.101583 -43.860578      1
 31.145758  -7.791915 -49.121913      1
 24.827074  -2.040952 -54.229802      1
 61.537801 -33.676024 -45.366150      1
  1.824995 -14.996996 -28.527159      1
-20.259201 -18.183082 -51.385543      1
 -5.353085  -1.815504 -52.069817      1
-20.356998 -37.871435 -66.125259      1
 54.743256 -33.726396 -26.928120      1
 37.232614 -39.818119 -80.463696      1
 -1.434951   0.018568 -53.449225      1
 45.132713 -43.563481 -33.308190      1
  2.133243  -4.093398 -40.339325      1
 33.067255 -19.408531  15.122734      1
 44.616805  -7.202052   8.275022      1
 31.304543  -6.974298  -1.594514      1
  2.218831  -9.361694 -32.117758      1
 10.533876 -34.581576  -2.188144      1
 44.857880 -28.372803  -6.582846      1
-10.869977 -26.644141 -32.940772      1
 61.553957 -36.825189 -55.417045      1
 -1.675455 -19.400386 -27.110751      1
 24.179311 -15.537354   4.841596      1
 26.202951 -11.048120  -0.844723      1
  2.183135 -26.275978 -14.780229      1
 33.677635 -42.474421 -10.440519      1
 25.270094 -19.467209   9.513204      1
 41.090593 -14.198572  15.364511      1
 36.166146  -3.891372  -0.583838      1
 -3.379722 -43.901513 -72.195638      1
 50.990705 -30.935709 -15.740204      1
 40.779670 -43.789647 -20.869711      1
 15.646246 -50.734006 -45.455646      1
 57.767386 -33.570822 -36.668599      1
 51.090421 -42.416594 -42.700967      1
 13.203871 -40.849264 -72.190080      1
 52.731495 -44.581816 -63.546987      1
 41.682878 -48.765417 -58.856822      1
 26.776942 -39.796522 -75.601125      1
  3.472489  -5.131189 -37.906767      1
 28.247602  -6.750471 -64.152944      1
 40.885649 -11.084292 -63.113459      1
 14.692697  -2.869905 -65.228465      1
  2.895932  -0.399935 -60.635324      1
 52.539153 -16.228712 -72.621420      1
 28.585341 -54.210560 -51.971319      1
  3.879307 -11.002515 -27.980084      1
  8.082183 -15.707786 -19.460258      1
 65.970312 -24.214888 -46.418728      1
-29.231758 -56.877819 -62.003488      1
 60.543978 -23.551178 -23.948083      1
-23.145710 -25.656022 -43.209752      1
 64.760199 -25.350268 -64.219689      1
 66.866254 -26.584276 -53.376761      1
 -5.870806 -58.729145 -68.137220      1
 53.523412 -17.967137 -15.961791      1
 31.865166 -49.538487 -71.471823      1
 62.823036 -22.770356 -35.737516      1
 43.515438 -46.148922 -76.591661      1
 17.745957 -13.458856 -14.445378      1
 14.534858 -53.949350 -68.686312      1
 61.357264 -21.702461 -71.858773      1
 28.535306  -5.759612 -11.633258      1
 46.260106  -8.117047  -7.066794      1
 -1.523298  -1.152547 -46.645886      1
  0.219045  -1.143629 -45.838821      1
  8.386254  -6.253655 -51.224213      1
  7.933352  -9.149133 -42.237737      1
 12.073647  -6.786409 -56.258710      1
  5.395180  -6.108523 -47.483897      1
 12.912811 -13.052259 -33.778085      1
 17.995123 -16.430453 -25.468371      1
 22.543113 -14.225114 -20.068990      1
 30.832575 -12.984722 -19.334494      1
 41.872198 -12.575414 -20.383610      1
 25.968520 -15.084013 -29.505329      1
 34.062169 -17.230635 -31.055492      1
 19.030804 -13.629449 -38.491202      1
 25.004714 -17.175611 -42.903931      1
 13.948232 -12.046685 -45.178265      1
 20.803691 -13.225247 -49.092741      1
 50.988982 -12.786686 -64.569588      1
 60.557394 -22.942453 -46.876373      1
 56.647978 -19.985004 -57.714259      1
 60.136733 -23.453739 -52.230278      1
 54.320782 -15.682910 -63.122437      1
 42.871338 -11.668985 -61.922392      1
 57.397238 -20.860125 -41.523892      1
 46.663062 -15.725961 -58.555697      1
 49.396463 -20.572977 -53.856371      1
 52.872335 -21.818326 -47.578385      1
 33.432268 -10.028879 -59.546633      1
 41.834426 -20.532093 -49.283329      1
 45.536262 -22.124694 -41.926083      1
 52.584099 -23.553962 -31.243249      1
 38.955073 -13.698870 -54.184098      1
 48.412102 -18.334366 -24.803009      1
 39.917670 -19.959327 -35.765975      1
 32.927897 -20.554503 -45.211964      1
 29.207259 -14.980598 -51.723712      1
 21.369059  -9.134830 -58.572857      1
 12.536175 -27.010824  -3.785800      1
 39.828524 -24.761212   4.190383      1
 44.219730  -9.128621  -0.818701      1
 24.970771 -10.675106  -7.522177      1
 29.981530 -35.440346   6.289057      1
 33.367571  -7.187656  -5.600788      1
 37.095683 -49.361145 -41.449167      1
 45.626026 -46.258220 -50.195611      1
 27.614411 -49.018096 -32.245653      1
 53.863637 -42.376412 -54.831176      1
 16.373210 -46.700058 -19.685678      1
 -1.808655 -48.283088 -34.708882      1
-30.114313 -43.238128 -48.131216      1
-26.198013 -28.077885 -57.684044      1
 -4.134020 -17.029493 -64.188723      1
 21.013824 -20.330406 -68.756406      1
  7.420208 -19.794145 -67.010554      1
 34.574518 -26.036674 -70.293422      1
-14.573499  -9.288565 -54.162753      1
 45.922472 -27.860846 -80.135145      1
 55.147618 -34.728545 -75.725384      1
 59.691301 -34.847627 -66.034531      1
-11.435370 -12.699031 -59.237209      1
 -6.111047 -40.375350 -25.499750      1
 54.949038 -39.495775 -48.441943      1
 15.827202 -18.167538  -7.742302      1
 38.169335  19.399616 -65.282274      1
 71.390788   6.719534 -20.093528      1
 54.458156  30.768048 -38.949706      1
 31.745161   5.995366 -65.672004      1
 45.535917  29.302674 -56.604587      1
 45.768331  35.575422 -32.684767      1
 18.861700   9.479765 -66.347464      1
 33.459443  35.047243 -51.981540      1
 60.119698  12.932078 -15.443246      1
 46.982982   4.987824 -60.397043      1
 72.235660   0.301035 -30.580549      1
 62.832031  19.992851 -45.815570      1
 43.096239  -0.877506 -63.342252      1
 51.732004  17.134498 -58.150454      1
 65.111434  19.578712 -28.723133      1
 52.705233  27.525640 -22.892742      1
 71.380994  12.265833 -36.253362      1
 26.944729  26.056094 -64.916453      1
 57.858834  -0.458138 -68.044629      1
 70.154022  -6.522635 -43.246282      1
 66.881109  10.268268 -50.291501      1
 53.670711  -6.068187 -70.295006      1
 63.185001   5.373354 -61.300550      1
 73.943317   1.669827 -47.087667      1
 66.786457 -14.105871 -71.286655      1
 70.046774 -10.005093 -67.369522      1
 74.545804 -12.469993 -53.186986      1
 73.159753 -15.653345 -61.269101      1
 74.169216  -5.333292 -58.606920      1
 68.316906 -16.170236 -42.406342      1
 67.693574 -10.417436 -17.870322      1
 59.332374  -2.988283 -13.528995      1
