         x          y          z  Frame
 -1.273250 -28.395588 -65.715794      1
-28.258171  -2.156205 -41.910427      1
-27.160237  -1.635484 -43.475400      1
-16.606101   4.924967 -44.258503      1
-15.903045   6.069044 -39.069205      1
-30.459698  -0.067545 -26.629723      1
 -3.314371  -0.946205 -37.328084      1
 -5.251115   4.730030 -44.744526      1
 -9.001250 -14.490783 -56.881731      1
  4.620489 -32.595485 -51.687595      1
 -4.807395 -39.034007 -61.628630      1
  8.892750 -23.371409 -38.954042      1
  6.384688 -25.888913 -58.172892      1
  4.962093 -12.359993 -52.967263      1
 -5.813939 -29.639018 -66.064918      1
-14.863471 -18.748316 -56.040522      1
-12.009949   5.631321 -51.781350      1
 -2.850512 -39.508132 -56.572354      1
  3.560846 -27.536657 -62.837067      1
 -2.636701 -12.676086 -55.578220      1
-23.668452   3.569560 -24.978836      1
-30.481646  -2.859424 -35.211365      1
-30.692958  -0.546766 -25.577059      1
-22.095443  -0.546100 -21.608870      1
-35.137110  -0.942564 -28.842292      1
-31.995314   1.369131 -21.943322      1
-25.585354   1.048113 -18.513310      1
-23.519048  -7.892282 -19.805309      1
-33.872520  -5.034379 -26.843831      1
-31.958844  -7.580518 -33.096456      1
-20.157878 -11.078429 -25.092008      1
-29.231678 -11.551071 -29.460555      1
-18.665137   6.172299 -29.514236      1
 -4.997394  -7.290617 -31.527880      1
-28.953200 -11.554534 -25.195527      1
  0.709514  -3.379659 -49.003935      1
-21.129637 -12.343961 -52.845480      1
 -7.149721  -3.278250 -53.162575      1
  3.947258 -15.717386 -34.417918      1
 -5.201371 -21.541266 -61.530455      1
  7.308658 -29.415102 -44.858408      1
  6.224383 -20.160515 -56.126755      1
-10.569772 -24.154758 -61.005698      1
  0.722107 -19.023117 -60.049440      1
-26.789377  -7.036143 -52.463938      1
-29.290486  -5.370991 -36.897613      1
-28.795278  -6.575048 -48.729882      1
 -4.651968 -15.411539 -28.643802      1
-14.492118 -12.012480 -25.791608      1
-22.573706   0.573236 -46.735909      1
  6.291695 -29.511390 -55.637316      1
  9.712945 -16.509707 -46.457378      1
-16.317759   6.134358 -33.341757      1
 -5.368937 -36.546943 -65.076064      1
 -0.525208 -35.487472 -66.973518      1
  4.809580  -8.733235 -41.120671      1
  9.888418 -23.930681 -50.224262      1
  0.205928 -36.899913 -49.936788      1
  1.791264 -27.777238 -35.599704      1
 -0.519819 -21.374817 -30.598621      1
  2.302367 -33.770065 -41.995280      1
-20.234968   4.599295 -27.235403      1
-13.183890  -4.418571 -27.427820      1
-29.953950  -2.823619 -38.899794      1
-29.935850  -4.328923 -42.692820      1
-12.907685  -6.838591 -55.489334      1
-18.527888   0.929441 -53.472926      1
 -0.037540 -36.268386 -61.989316      1
 -0.528705 -39.443607 -62.249307      1
  4.091650 -34.172674 -62.050857      1
-23.913653  -9.018145 -48.785803      1
-27.493762  -8.470426 -41.659812      1
-26.909149  -8.315448 -46.401114      1
-28.974287  -8.428345 -44.111127      1
-25.934078 -11.653968 -37.325315      1
-19.218507 -11.268766 -30.541593      1
-22.286697 -12.738118 -33.732012      1
 -7.809179 -18.226417 -30.632735      1
-13.771191 -13.561093 -31.380041      1
-17.643934 -14.318615 -35.634756      1
-12.961293 -17.366611 -37.691896      1
-21.610232 -12.393234 -40.649798      1
-17.992733 -16.293585 -42.472699      1
-23.705179 -10.737420 -43.769179      1
-20.308884 -12.739920 -46.478747      1
 -7.911634 -34.521671 -55.481810      1
 -9.893392 -28.704482 -61.315556      1
 -5.685784 -36.104053 -52.552417      1
 -7.237421 -30.646048 -59.761230      1
 -3.442497 -35.751522 -48.620311      1
-11.844373 -24.437260 -57.351430      1
 -3.591827 -33.471072 -44.381085      1
 -7.756774 -31.726016 -48.190560      1
-10.328940 -29.865193 -51.717863      1
-11.503109 -26.712475 -55.090203      1
-15.753714 -19.225518 -53.404385      1
-12.585704 -25.364620 -48.289269      1
 -9.600290 -27.276704 -44.005976      1
 -3.526938 -28.624331 -38.583348      1
-14.410099 -21.932855 -51.137111      1
 -4.924219 -22.798970 -34.228635      1
-11.112893 -22.133278 -40.069724      1
-15.309012 -20.792485 -45.358332      1
-17.079266 -17.617433 -48.684295      1
-19.313099 -13.254947 -50.934173      1
 -8.735691 -45.002494 -44.071941      1
-38.478884  -5.883309 -34.309034      1
-53.486029 -11.291799 -45.309848      1
-37.673267  -7.882474 -48.133279      1
-61.161202 -19.912752 -52.245226      1
 -6.951867 -45.042513 -28.588834      1
-33.315486 -43.391160 -69.757777      1
-35.002901  -7.554902 -50.000094      1
-20.116979 -46.359248 -30.613237      1
-32.976514  -7.617213 -41.474993      1
-20.671126 -24.179620   1.128697      1
 -9.940256 -23.549118  -5.602686      1
-18.283607 -19.391011 -11.790464      1
-35.797598  -5.763796 -35.766070      1
-33.742826 -28.616365 -13.564462      1
 -9.615004 -36.888878 -10.353703      1
-51.138057  -9.281424 -33.663893      1
-12.792504 -46.265559 -51.074679      1
-41.656350  -6.433859 -33.762819      1
-25.530599 -20.559541  -4.929235      1
-23.431462 -19.464447  -9.924697      1
-37.845172 -20.768116 -23.988129      1
-24.659601 -39.457922 -13.650823      1
-25.386147 -22.960126  -1.832841      1
-14.217952 -25.095236   0.703178      1
-13.947320 -19.045874 -12.200346      1
-57.303968 -29.872846 -57.351094      1
 -5.490814 -42.548605 -17.963180      1
-21.806635 -44.801901 -20.583035      1
-45.831278 -43.732792 -34.200072      1
 -8.083817 -42.996749 -37.036986      1
-17.252967 -45.617554 -39.452055      1
-48.654424 -36.482684 -59.924787      1
-22.399208 -45.594211 -54.890970      1
