          x          y          z  Frame
  82.584276  -1.998953 -55.542667      1
  26.822434  24.088488 -11.423883      1
  28.398410  24.229361 -12.636521      1
  41.801386  31.310164 -13.527214      1
  53.730992  35.396084  -5.523184      1
  18.419271  20.390636   8.027478      1
  70.672796  28.870074  -0.123856      1
  61.018408  37.805993  -6.686474      1
  66.352181  17.950771 -43.198460      1
  92.221407 -13.044306 -31.140953      1
  78.666500 -21.539967 -53.489900      1
  89.146783  -2.020688 -10.807627      1
  92.527592   1.822003 -38.340418      1
  85.306420  18.493416 -26.118151      1
  71.844437  -8.115633 -56.804636      1
  56.856413   8.536973 -43.306551      1
  51.701361  40.450165 -19.632570      1
  81.579180 -22.958187 -43.101817      1
  90.647899   0.485371 -46.671711      1
  79.202681  22.614296 -35.985636      1
  33.248082  27.145834  10.405141      1
  17.381139  19.473650  -4.171941      1
  17.911412  18.071516   7.963602      1
  31.678972  16.423736  14.200427      1
   5.386680  15.011422   2.470639      1
  11.583007  15.767238  12.332368      1
  22.761223  13.491320  18.250585      1
  25.927036   1.862591  14.235171      1
   7.985234   7.010725   1.248128      1
  13.114464   8.894746  -1.415395      1
  35.705380   4.617804   9.049673      1
  19.496100   2.105620  -0.025639      1
  46.215231  32.162984   5.941243      1
  68.507947  16.178117  10.504726      1
  19.125875  -2.379122   3.429685      1
  79.391429  28.168090 -18.898440      1
  42.378718  14.991830 -39.408737      1
  69.038566  29.167278 -29.256857      1
  83.538547   6.102397  -0.506844      1
  74.706375   4.374556 -46.690063      1
  94.569141  -9.242962 -19.680830      1
  92.507540   9.511583 -33.665899      1
  65.907217  -0.784869 -48.600597      1
  83.611926  10.070928 -40.826390      1
  27.993116  22.674025 -33.760594      1
  18.762138  17.061252  -5.666644      1
  23.247050  22.908356 -24.308136      1
  64.331326   3.347303  10.196645      1
  46.238170   4.978864  10.203584      1
  37.308724  27.714663 -12.708679      1
  94.386476  -4.824453 -36.005960      1
  89.418011   8.362539 -17.522009      1
  48.210666  32.704830   7.222085      1
  76.786914 -16.615918 -58.881200      1
  86.033571 -11.303619 -58.034568      1
  82.084955  19.314739  -6.361688      1
  95.709648   1.446960 -26.034473      1
  84.716627 -21.675416 -31.567210      1
  78.940047 -13.161507  -7.834371      1
  71.028316  -5.092436   3.145271      1
  84.114971 -19.201532 -18.338905      1
  40.432818  31.223771   8.192718      1
  51.283456  17.660734  11.469270      1
  20.801255  21.573474  -8.061184      1
  19.663539  21.399994 -10.649233      1
  56.535028  27.298052 -39.574462      1
  39.360925  39.222565 -27.332306      1
  86.950701 -14.025489 -51.222866      1
  86.720053 -19.100606 -49.073020      1
  90.278663  -9.050724 -46.261856      1
  33.043129  13.814490 -29.406421      1
  23.317237  11.574090 -14.500651      1
  26.526751  14.345517 -23.352704      1
  21.235887  13.793781 -17.670766      1
  26.580468   6.187368 -10.890647      1
  37.091188   4.320434  -0.497126      1
  32.498927   3.175264  -5.333012      1
  56.581306  -3.794542   0.869838      1
  45.699818   1.824779   0.198750      1
  39.190867  -0.038742  -8.753933      1
  47.818983  -3.521178 -11.682324      1
  34.680934   5.694626 -15.997498      1
  42.377754   0.392833 -19.300969      1
  31.201758   9.393270 -21.014009      1
  38.019210   7.447152 -25.269337      1
  69.309239 -17.402691 -40.874470      1
  66.443120  -6.306424 -50.431472      1
  73.229831 -20.735215 -36.946328      1
  68.771551 -10.878878 -46.236330      1
  76.058530 -20.998148 -30.203710      1
  60.751758  -1.548870 -43.727640      1
  73.260253 -19.047573 -23.865061      1
  65.882886 -16.258051 -29.049374      1
  62.341974 -11.656624 -35.151139      1
  61.757426  -6.610837 -39.710034      1
  51.280525   3.952568 -37.899807      1
  55.781744  -7.536539 -29.640161      1
  59.544816 -11.997806 -22.504856      1
  68.344920 -14.201172 -13.891732      1
  54.024422  -1.701598 -33.543229      1
  63.266813  -9.047122  -5.958839      1
  53.877404  -7.618278 -16.363889      1
  49.331834  -3.832744 -24.812608      1
  45.872214   2.265882 -28.969971      1
  42.987929   9.675907 -33.191224      1
  67.932465 -31.548832 -30.215147      1
   2.255188   7.442143  -3.657540      1
 -15.855205   6.891955 -14.540293      1
   8.353252  12.786165 -14.380808      1
 -22.157468   0.997154 -43.048003      1
  59.723889 -29.201692 -10.176961      1
  39.081208 -23.393171 -66.144474      1
  13.768936  15.936847 -22.231230      1
  44.207558 -30.462815 -16.868738      1
  11.388261  11.348581  -7.580469      1
  26.317788 -22.040213  23.881045      1
  50.381928 -11.392742  24.539772      1
  34.791702   0.347015  18.747830      1
   5.211358   9.074207  -3.459012      1
  10.273681 -19.807823  11.609665      1
  48.691020 -22.484624  13.362256      1
 -14.090439   4.021687  -4.892236      1
  64.947493 -33.579625 -40.986373      1
  -1.665975   6.791106  -3.211773      1
  20.037428  -9.794505  20.408748      1
  23.573978  -2.220740  18.823846      1
   5.855300  -9.310393   0.590231      1
  29.297838 -23.349331   6.601829      1
  20.476574 -16.121587  21.132688      1
  40.641135 -22.797617  23.335882      1
  43.903430  -1.754580  20.150602      1
  -6.972964 -11.936002 -54.195739      1
  57.994581 -28.000334   5.314220      1
  36.813935 -25.810000  -3.279906      1
   7.332474 -28.147302 -22.843334      1
  65.286718 -30.076825 -20.098889      1
  53.517023 -33.061524 -26.670821      1
  12.211427 -17.374644 -56.380744      1
  51.209939 -31.056526 -48.581648      1
  39.190378 -29.151447 -41.965890      1
  26.761511 -19.780606 -61.405545      1
  13.107643  10.671438  -8.285392      1
  44.213957   4.232254 -46.532189      1
  54.933504  -2.026147 -54.791194      1
  30.268241  10.389072 -41.808047      1
  18.160895  16.482360 -35.255253      1
  64.969012 -11.775498 -64.358786      1
  23.439438 -27.968016 -31.864634      1
  10.099442   4.841505  -3.692449      1
  15.689322  -4.294572  -0.362166      1
  76.712760 -27.295465 -32.638358      1
 -38.260112 -24.580414 -32.469462      1
  72.859679 -22.737005  -7.651165      1
 -28.387900   2.399458  -6.674701      1
  71.632538 -28.020783 -53.794053      1
  75.287133 -29.696857 -40.458924      1
 -13.767175 -27.755809 -44.717922      1
  66.264482 -16.325531   4.790377      1
  28.088346 -25.888790 -54.554442      1
  75.411622 -25.322951 -19.278694      1
  43.004146 -28.419548 -61.834729      1
  28.129711  -6.022434   6.108902      1
   8.550775 -27.202442 -50.514324      1
  72.579367 -21.118540 -65.876027      1
  43.411569   1.379980  12.896160      1
  61.768144  -6.540922  17.393038      1
  11.591172  14.202342 -12.712994      1
  14.000699  14.539984 -13.980886      1
  19.250902   8.936609 -26.676873      1
  17.058934   6.289163 -16.770311      1
  23.247802   7.062908 -32.163840      1
  15.897334   9.252243 -19.374430      1
  21.369555   0.502548 -11.011595      1
  25.498917  -6.431232  -5.354940      1
  31.220452  -7.339888   0.930544      1
  40.301492  -6.627440   1.125792      1
  50.822784 -10.947801   1.536705      1
  34.025583  -6.642831  -8.350700      1
  42.169236 -10.354078 -12.180090      1
  27.910061  -0.860466 -16.827662      1
  34.008906  -5.176329 -21.711200      1
  22.799388   2.119715 -21.304772      1
  30.535613  -0.720793 -27.908324      1
  63.314154  -8.789905 -51.196475      1
  69.013649 -26.292279 -31.283819      1
  62.539549 -20.579094 -43.132571      1
  67.063403 -26.460799 -36.942560      1
  63.864765 -14.563399 -49.869824      1
  54.280241  -5.499990 -48.104730      1
  65.995971 -24.449926 -24.682352      1
  54.421337 -12.976792 -43.994922      1
  55.885042 -17.158199 -37.088471      1
  60.496592 -21.116586 -30.854338      1
  46.175701  -0.822177 -42.652815      1
  48.837382 -13.559097 -31.476764      1
  53.992033 -18.250332 -23.976532      1
  63.271953 -20.753842 -14.040897      1
  47.070736  -7.544320 -38.040743      1
  57.742843 -14.204180  -6.020853      1
  47.795940 -14.241558 -16.388897      1
  41.408843 -10.885624 -26.883554      1
  38.427416  -4.103746 -31.188461      1
  32.387216   3.031574 -39.651207      1
  13.896562 -14.809948  10.306607      1
  41.784912 -22.504404  21.143861      1
  58.662622  -6.555886  24.285488      1
  34.312530  -4.360950  13.552147      1
  24.931153 -25.691224  19.233206      1
