         x           y          z  Frame
 32.655671  -57.591104 -35.531479      1
-23.240487  -23.287256  -4.845473      1
-19.537226  -19.721305  -6.878943      1
 -4.920048   -7.700518 -11.019492      1
  7.986850   -4.474156   1.146885      1
-22.723176  -30.990980  20.575375      1
 29.542757   -9.975818  16.623163      1
 24.511360    1.677120   2.755856      1
 21.317935  -32.908248 -31.049430      1
 41.408480  -69.078848 -13.306414      1
 23.846533  -78.799328 -28.857632      1
 45.252322  -54.880286  10.499607      1
 46.292168  -50.641744 -22.126868      1
 43.621184  -27.159828 -11.634916      1
 19.804099  -62.601717 -34.901464      1
  8.134667  -43.833585 -31.552156      1
 11.588701    3.326994 -16.515039      1
 25.992884  -79.452469 -21.374716      1
 41.755196  -53.876533 -30.599195      1
 33.558941  -26.412445 -22.888087      1
-13.868723  -24.911158  17.126282      1
-32.160579  -33.328333   3.874958      1
-21.256220  -31.592614  22.937348      1
 -4.882922  -30.025122  28.896286      1
-28.098731  -30.361283  21.518452      1
-16.682193  -26.761863  31.911181      1
 -5.429501  -27.203539  36.292850      1
 -5.000610  -42.037621  35.386693      1
-23.850249  -39.191744  25.398226      1
-29.682526  -44.825297  10.953022      1
 -7.175211  -47.711834  23.492132      1
-22.371908  -50.992081  16.615681      1
 -3.503672  -16.788198  13.363914      1
 22.683640  -32.345708  28.036763      1
-18.337944  -51.006999  26.073289      1
 38.574370  -13.321846  -5.655218      1
 -3.964158  -34.816920 -28.873137      1
 25.457593  -12.943075 -19.568758      1
 40.258875  -43.092615  22.966944      1
 26.349686  -45.848908 -33.159485      1
 45.083536  -63.942578  -0.675857      1
 45.242930  -41.096260 -16.409498      1
 15.501825  -52.482001 -34.570497      1
 36.781293  -41.444757 -26.202472      1
-17.108938  -29.161143 -25.941798      1
-30.718323  -36.898182   2.654918      1
-24.238416  -31.070844 -18.574616      1
 16.626936  -49.343048  24.977633      1
  0.773038  -48.192843  22.557369      1
-11.999004  -15.165574  -7.434637      1
 47.559234  -59.731491 -17.927094      1
 47.027696  -37.792335   0.548136      1
  1.015353  -13.406840  13.346992      1
 23.793962  -73.759878 -32.142654      1
 34.728646  -69.643518 -37.022843      1
 43.124482  -25.514333   8.728226      1
 48.177378  -49.762382  -8.755436      1
 29.373604  -76.314981 -12.928629      1
 26.900016  -70.517146  11.667665      1
 22.694409  -61.763223  23.789085      1
 31.288501  -75.694535  -0.022211      1
 -7.627626  -22.184329  17.717042      1
  5.185138  -34.091740  22.188521      1
-29.127735  -28.281840  -2.102859      1
-30.476064  -30.543861  -6.861987      1
 14.082763  -19.805008 -28.671824      1
  0.216377   -8.493452 -24.156196      1
 36.354325  -75.526643 -25.150381      1
 34.671384  -79.985817 -29.044836      1
 43.735753  -66.722929 -29.764692      1
-12.977799  -36.140743 -19.002129      1
-24.078315  -41.866993  -6.125727      1
-20.617939  -37.316679 -15.042051      1
-26.442163  -39.256237 -10.319602      1
-20.219569  -48.568886   0.663572      1
 -7.287041  -48.847253  14.943570      1
-13.368276  -50.312738   7.856419      1
  7.765259  -57.776067  16.168262      1
 -0.048264  -49.932892  13.259440      1
 -5.768524  -51.335822   4.601957      1
  1.486872  -54.775071   2.125042      1
-11.381829  -46.991212  -4.426167      1
 -4.626472  -52.132557  -6.778712      1
-15.286940  -43.529909 -10.438997      1
 -7.626260  -44.686118 -13.492428      1
 18.636495  -71.918151 -23.266214      1
 15.369363  -62.180230 -31.723257      1
 20.497688  -74.542839 -18.790752      1
 19.159885  -65.990443 -27.860165      1
 22.377307  -75.337759 -12.945011      1
 11.238327  -56.272829 -29.119859      1
 20.620208  -74.835794  -6.782310      1
 15.304746  -70.874425 -13.450778      1
 12.874367  -67.001985 -19.080979      1
 12.010877  -61.802963 -23.944706      1
  3.186894  -49.473482 -25.778495      1
