         x           y          z  Frame
 28.674225  -61.271379 -32.194633      1
-13.805328  -16.261394  -8.706568      1
 -9.517337  -12.781537 -12.192471      1
  5.700538   -6.414671  -9.476260      1
 11.495569   -6.200546  -2.347161      1
-12.608907  -23.525454  13.958407      1
 30.137957  -15.718289  11.383027      1
 25.759239  -11.229165  -1.836925      1
 20.104550  -37.288984 -29.685544      1
 39.971526  -68.268653 -12.783253      1
 23.784531  -78.981444 -26.319245      1
 43.250286  -54.974337   8.973301      1
 44.461834  -52.563045 -20.676167      1
 39.627637  -31.485812 -10.225914      1
 21.018441  -63.295843 -33.103207      1
  8.188427  -45.717076 -26.822251      1
 15.637122   -7.777387 -14.231312      1
 24.845607  -80.892696 -18.253908      1
 40.193642  -55.564729 -28.096719      1
 29.085535  -31.025916 -19.802000      1
 -4.104547  -21.226184  18.441965      1
-17.302387  -22.813988   4.406865      1
-12.788229  -26.736009  17.557937      1
 -0.062329  -30.236454  27.579354      1
-23.337859  -28.433023  19.462560      1
-12.335746  -25.533306  27.476274      1
 -2.323748  -29.158498  33.174135      1
 -3.907817  -43.873153  34.143872      1
-20.898905  -40.012153  21.651938      1
-23.687278  -43.285582  11.481081      1
 -3.904116  -48.267347  22.485656      1
-18.735825  -53.889828  16.544833      1
  7.999456  -14.430706  16.392442      1
 25.764911  -31.714401  20.597968      1
-16.056341  -53.181036  25.632705      1
 33.392164  -20.282255  -7.342760      1
 -0.049658  -36.105551 -24.876653      1
 24.827413  -19.310037 -16.008181      1
 37.046963  -42.433445  19.526614      1
 24.505881  -47.865136 -31.159273      1
 44.069687  -65.688301   0.402364      1
 41.975230  -45.419159 -16.157530      1
 16.173310  -55.427010 -30.185041      1
 37.389757  -44.484579 -24.133444      1
-11.386538  -26.689916 -25.395037      1
-20.009437  -28.098737   2.264392      1
-17.745015  -26.294605 -18.811853      1
 17.778155  -49.199307  20.889740      1
  4.692186  -46.621105  17.411520      1
 -1.858849   -8.951414 -12.751294      1
 46.131840  -60.741075 -18.148841      1
 43.942802  -39.984773   0.343594      1
 13.493484   -9.041377   8.278948      1
 24.342336  -74.360174 -30.603430      1
 30.258833  -69.650222 -33.257054      1
