          x          y           z  Frame
  92.924832 -14.437066  -70.929342      1
   1.684687  10.955916  -49.437134      1
   4.418815  14.614736  -48.142197      1
  15.474644  20.959270  -41.091634      1
  21.308509  22.373413  -37.302007      1
  12.873917  -1.771102  -35.468921      1
  53.566832  26.737334  -19.020843      1
  47.108233  33.473746  -41.049028      1
  69.449890   2.225930  -65.189797      1
  98.235435 -10.591729  -60.633409      1
  94.745966 -22.765925  -72.696983      1
  88.987068   0.675531  -39.145363      1
  96.237137  -3.942077  -62.789016      1
  80.482022  12.927821  -52.167110      1
  87.391010 -19.269517  -73.776724      1
  64.635893  -4.356783  -67.447907      1
  36.140354  32.087849  -55.677313      1
  95.674937 -20.030988  -68.571365      1
  95.995326  -9.360631  -67.143037      1
  75.837815   8.845742  -60.116765      1
  25.910558   0.375366  -28.819782      1
   9.403496  -1.852196  -41.842269      1
  11.392319  -2.832276  -31.991275      1
  25.870898  -2.261645  -17.284194      1
  -2.610800  -7.875617  -32.208406      1
   3.764983  -1.079467  -22.949347      1
  18.416276  -0.819917  -13.789069      1
  21.589461 -14.562636  -12.511967      1
   2.826801 -17.817714  -30.076139      1
  11.226091 -14.690240  -40.783090      1
  28.036188 -13.691027  -21.236952      1
  17.023640 -19.879283  -34.645393      1
  32.429672  10.692398  -25.487425      1
  56.105721   7.699459  -17.236485      1
  17.055499 -24.977439  -25.455831      1
  63.764711  27.552815  -47.886361      1
  44.138728   4.817587  -70.718867      1
  59.881715  25.784674  -62.491104      1
  78.688110   6.774473  -24.594084      1
  82.719942  -6.443875  -66.813107      1
  93.748913  -5.444939  -52.813216      1
  89.564515   3.255623  -58.455850      1
  77.395099 -13.176781  -69.352872      1
  85.096876   0.325535  -62.703580      1
  26.394999  10.966866  -74.645540      1
  11.900196  -5.038411  -44.482001      1
  16.752104   7.869466  -67.297261      1
  52.848000  -5.662025  -21.985479      1
  38.619294 -11.335566  -20.568043      1
   9.828441  19.119118  -45.477417      1
  99.475902  -7.507222  -61.994845      1
  84.427070  10.368706  -45.716231      1
  31.667820  18.646543  -26.657410      1
  93.673726 -22.630618  -74.630492      1
  99.559284 -21.263719  -74.119051      1
  74.519879  19.716162  -35.936338      1
  93.286572   0.634523  -54.758603      1
  95.791613 -16.074965  -61.879807      1
  87.139360 -18.814152  -33.515677      1
  70.805674 -13.657228  -21.125898      1
  91.150250 -13.941935  -51.171591      1
  30.587503   6.342972  -25.133229      1
  41.108469   0.784833  -19.464837      1
   3.120759   0.094922  -45.645780      1
   6.113215   2.533165  -53.791698      1
  51.482229  16.943159  -70.763233      1
  27.847019  23.894880  -64.783911      1
  99.568105 -20.520450  -67.539670      1
 101.755668 -21.891928  -72.159858      1
 102.046530 -15.406095  -68.663716      1
  33.307366   1.861049  -64.110108      1
  21.586911  -6.185165  -54.219101      1
  24.256694   0.546531  -62.276737      1
  19.365229  -3.740851  -58.929955      1
  27.161654 -13.969799  -46.957455      1
  34.779632 -13.023990  -30.917892      1
  31.859081 -13.312512  -40.079613      1
  55.337238 -16.910310  -28.780979      1
  43.509539 -12.859746  -29.670810      1
  42.827011 -15.992041  -40.708588      1
  51.204163 -16.581814  -43.221715      1
  36.936452 -11.883276  -50.547631      1
  47.987342 -17.255408  -52.880245      1
  33.106296  -7.069113  -56.459927      1
  43.074683  -5.974062  -59.163734      1
  86.827659 -22.517366  -69.294719      1
  81.339102 -18.032769  -71.761372      1
  89.974008 -21.707037  -66.076439      1
  84.718658 -20.720369  -71.445116      1
  90.103374 -19.331722  -61.040152      1
  74.916636 -13.134558  -68.362925      1
  86.580041 -20.255039  -55.494633      1
  82.213530 -22.232289  -61.225548      1
  78.904383 -21.310726  -65.741346      1
  77.117334 -16.211350  -67.273916      1
  62.607083  -6.147986  -67.467035      1
  70.266479 -18.368302  -62.039280      1
  73.409296 -22.836614  -54.452355      1
  78.376721 -25.365730  -42.047525      1
  65.730577 -13.718131  -66.416373      1
  65.799824 -23.266649  -34.437083      1
  62.440394 -21.613282  -47.218180      1
  58.775632 -17.718249  -58.998153      1
  54.961017 -10.918627  -62.056637      1
  48.788978  -1.638486  -68.024896      1
  85.919224 -26.927001  -61.481215      1
  10.258445 -26.244164  -45.811171      1
  -8.524339 -25.937084  -70.430936      1
   6.295777  -4.683696  -69.191585      1
   7.981257 -38.849571  -84.355047      1
  76.246648 -38.724682  -38.208801      1
  70.906712 -35.169444  -89.607046      1
  10.380020   4.688761  -73.647159      1
  67.465597 -47.988516  -46.627041      1
  12.699493 -10.740137  -56.492702      1
  13.759807 -40.673850   14.981279      1
  31.155319 -26.515296    8.441159      1
  17.989057 -18.012936    3.419561      1
  11.565384 -19.413067  -47.400505      1
  18.377714 -52.114720  -16.034773      1
  44.554546 -37.789993  -18.924272      1
   1.637956 -33.475456  -51.725205      1
  85.436230 -27.761043  -70.487866      1
   6.836521 -29.171638  -46.795873      1
   3.713254 -30.737492    7.807478      1
   6.317037 -22.016055    3.125287      1
  16.539394 -40.870601  -33.597006      1
  43.001676 -52.582836  -19.195471      1
   7.319079 -36.658044   11.064242      1
  25.399126 -38.823322   14.884890      1
  24.681066 -18.200589    3.902102      1
  22.594566 -42.467996 -100.347066      1
  59.835003 -37.083987  -27.704137      1
  53.746448 -48.142596  -32.784764      1
  37.904953 -58.594731  -58.654555      1
  82.013009 -32.233023  -51.523216      1
  75.827797 -38.091513  -58.128766      1
  42.779545 -38.439787  -97.903522      1
  77.778349 -33.058615  -76.815011      1
  68.994273 -40.303111  -74.062573      1
  60.645939 -34.337974  -89.432462      1
  14.171133 -11.074163  -53.902923      1
  57.178295  -8.846358  -77.887342      1
  72.228328 -18.375533  -77.023223      1
  40.183357   3.171601  -86.377503      1
  19.643007   6.023272  -85.118625      1
  83.424500 -24.845478  -79.671825      1
  56.744496 -55.756535  -66.635910      1
  12.979770 -21.286153  -43.318262      1
  20.618320 -29.499231  -35.472400      1
  92.375296 -21.370293  -63.459531      1
   7.407828 -51.766293  -75.486026      1
  82.916829 -29.005990  -36.247878      1
  -9.375135 -33.133415  -61.328612      1
  91.611758 -26.921701  -76.170548      1
  93.026658 -23.898219  -69.278603      1
  28.716754 -56.708798  -82.459728      1
  63.328494 -28.910990  -27.545568      1
  62.795581 -40.568669  -85.533626      1
  88.076471 -23.690940  -51.737518      1
  74.797535 -36.651213  -85.281306      1
  26.811956 -26.658824  -25.748816      1
  42.914314 -50.570322  -86.587554      1
  91.573315 -27.364111  -79.826751      1
  35.294514 -17.133647  -16.133612      1
  47.822885 -20.897528  -18.004759      1
   8.347859  -4.936201  -63.173404      1
  10.278903  -3.478337  -62.418828      1
  24.609147  -6.666527  -68.456686      1
  21.485268 -14.844526  -58.352668      1
  32.706642  -3.992042  -71.866282      1
  19.369980  -8.078321  -64.516184      1
  26.708258 -21.535331  -49.380163      1
