          x          y          z  Frame
  86.530597 -13.285161 -69.023590      1
  11.451052   4.586636 -53.245715      1
  14.638953   7.160778 -55.333815      1
  33.782092  20.404331 -54.480362      1
  36.859827  19.678260 -38.165673      1
   3.917479  -4.006067 -22.586136      1
  48.947435  14.882855 -30.222376      1
  47.348577  21.322508 -44.444037      1
  66.318056  -3.320326 -62.935720      1
  90.925626 -11.606768 -56.751206      1
  87.190506 -21.098846 -67.475879      1
  84.060470  -1.380544 -35.136737      1
  90.591626  -5.854474 -62.537938      1
  74.350237   4.679580 -54.603175      1
  80.704398 -17.500244 -70.011779      1
  60.798251  -7.577142 -64.066234      1
  42.310219  19.362062 -59.880948      1
  88.039266 -19.288212 -62.404356      1
  90.069620  -9.841507 -66.622433      1
  70.802850   1.159740 -60.376330      1
  19.797819   3.691114 -14.748445      1
   6.266887  -2.293125 -40.452956      1
   5.292539  -5.875604 -22.483673      1
  25.654945  -1.950905 -13.282093      1
  -0.868495 -11.058801 -33.260574      1
   4.173610  -5.241565 -19.681867      1
  19.904196  -2.533426 -11.362707      1
  25.981445 -15.969205 -13.905998      1
   5.650613 -20.916829 -29.798109      1
  12.899455 -16.534073 -41.424387      1
  28.024955 -15.198891 -20.925159      1
  18.926509 -23.165058 -34.567433      1
  28.163289  11.024792 -20.660259      1
  47.866278   4.346867 -21.738860      1
  20.318168 -27.457543 -25.798063      1
  63.200622  13.561753 -52.046253      1
  45.581736  -0.472637 -68.192600      1
  56.288530  14.716707 -63.282257      1
  70.600970   1.555804 -28.935855      1
  77.256345  -9.393681 -63.963324      1
  88.542151  -9.698650 -47.793086      1
  84.677866  -1.830017 -58.203819      1
  71.801490 -13.310730 -64.899972      1
  79.819685  -4.495520 -61.893691      1
  29.952852   0.578755 -70.677829      1
  10.969286  -4.688604 -44.343907      1
  21.572668  -0.468538 -66.037788      1
  47.116610  -7.004539 -23.546446      1
  35.198301 -12.180285 -19.859541      1
  20.393197  11.870044 -60.277796      1
  94.043906  -8.579424 -60.693005      1
  81.009593   4.122842 -46.870095      1
  33.698822  15.631471 -28.767510      1
  86.406247 -19.949850 -70.689265      1
  92.643816 -17.440640 -72.427370      1
  68.389070  11.458680 -38.392771      1
  88.514111  -2.965481 -53.141398      1
  87.591931 -18.506011 -54.506099      1
  77.401073 -20.460006 -28.955163      1
  61.939533 -12.435260 -25.761951      1
  83.816809 -19.259011 -43.670807      1
  24.269728   7.386028 -17.872349      1
  35.855375   0.291329 -18.221332      1
   7.812329   1.297556 -48.002216      1
  10.483220  -0.240616 -55.932750      1
  50.887213   6.504852 -68.672170      1
  36.279751  11.270801 -61.715703      1
  93.116304 -18.024084 -64.950207      1
  94.171522 -18.532107 -68.553648      1
  95.688784 -13.286609 -67.612882      1
  35.238180  -1.517592 -63.122887      1
  22.447536  -7.300309 -53.481223      1
  26.604904  -3.781226 -60.803523      1
  20.913653  -6.491009 -58.504709      1
  26.467616 -14.277041 -45.675728      1
  32.918507 -14.026999 -30.151909      1
  29.916838 -14.535880 -38.174125      1
  49.859049 -15.579809 -27.770093      1
  39.994407 -13.782001 -29.001988      1
  39.872827 -15.612478 -38.964463      1
  48.548007 -15.367527 -39.972977      1
  35.923259 -11.423045 -48.450301      1
  45.207373 -14.768229 -50.135503      1
  33.196338  -7.627935 -54.989867      1
  42.023897  -6.442069 -56.844880      1
  79.440299 -20.736466 -62.944206      1
  75.028937 -16.396089 -67.274967      1
  81.761682 -21.394791 -59.001175      1
  77.648338 -18.111141 -66.308983      1
  82.112010 -21.362536 -53.695358      1
  68.985656 -12.354660 -64.353122      1
  79.037762 -22.713934 -48.125968      1
  74.328742 -21.825587 -53.917887      1
  71.685134 -18.776864 -59.242246      1
  70.730329 -13.813254 -62.399736      1
  58.888515  -7.939995 -64.029728      1
  64.291986 -16.498021 -55.679454      1
  66.818169 -21.214186 -48.834689      1
  71.726644 -24.731611 -37.648505      1
  60.843155 -12.925035 -60.732694      1
  59.781820 -19.437095 -31.723548      1
  56.818302 -19.667832 -42.390645      1
  53.847035 -16.442895 -53.668384      1
  51.584682 -11.735121 -59.276242      1
  47.295446  -3.174754 -64.162082      1
  79.258991 -32.695082 -50.787283      1
  11.430276 -28.025050 -46.100663      1
  -0.903134 -28.258654 -75.383266      1
   8.889147 -10.267357 -71.756468      1
   8.649358 -38.705117 -80.402154      1
  66.063706 -37.968913 -32.893303      1
  63.050054 -36.581755 -82.524042      1
  15.098981  -6.669128 -72.305753      1
  59.056057 -46.352518 -37.539518      1
  12.649825 -10.657929 -57.446780      1
  14.624884 -37.297453   8.453776      1
  26.390740 -28.144588   3.690596      1
  17.985909 -22.453105  -0.676371      1
  11.802762 -19.245967 -48.250056      1
  21.615099 -50.711159 -14.358316      1
  40.329037 -40.139773 -10.668240      1
   6.502668 -38.010221 -54.848058      1
  77.975122 -31.662324 -60.393568      1
  10.275211 -32.744117 -48.731119      1
