         x          y          z  Frame
 69.281210  -3.501245 -63.286428      1
 -0.515414  10.400359 -33.529638      1
  1.838176  14.001483 -33.837930      1
  9.637251  23.359131 -30.983791      1
 15.772801  25.632046 -26.872062      1
  0.486037   4.867594 -24.247981      1
 33.563969  31.921332 -17.866169      1
 31.619177  35.352322 -36.363166      1
 43.701918  17.617349 -63.641593      1
 74.829018  -6.888205 -34.104710      1
 68.154582 -24.223277 -53.006798      1
 56.989543   5.510221 -27.819483      1
 63.117811   1.415771 -46.687111      1
 58.482391  21.801742 -43.193620      1
 62.347713 -11.874482 -69.924680      1
 39.215717  -1.355380 -64.736272      1
 20.996463  39.544310 -47.511406      1
 72.202084 -22.763849 -43.823999      1
 70.641701  -1.318982 -55.003784      1
 55.423120  19.609828 -55.510860      1
  6.885001   9.794041 -20.317703      1
 -1.827614   3.288529 -26.784444      1
  0.141902   2.062112 -23.765276      1
  4.958046   4.314515 -17.899084      1
 -6.409696  -5.748451 -27.393786      1
 -3.401588   0.722589 -23.491232      1
 -0.946665   1.943767 -18.004263      1
 -0.132599  -3.853710 -14.462680      1
 -6.730094  -8.016012 -23.486667      1
 -4.111438  -9.520435 -29.041076      1
 13.529088  -4.677893 -17.568802      1
  4.175585 -16.012949 -22.843600      1
 13.296075  18.341669 -20.640622      1
 34.805460  17.520372  -9.869978      1
 -3.508256 -13.265242 -17.915037      1
 43.396434  23.865692 -37.534928      1
 26.990970   3.391142 -57.630730      1
 35.248272  28.084051 -46.953413      1
 54.447024  10.141710 -16.383784      1
 61.696625  -0.144803 -57.563598      1
 74.274404   0.129428 -25.788270      1
 66.885143  15.641845 -46.611997      1
 57.012447  -3.319857 -55.713415      1
 62.731585  11.709492 -54.197163      1
  6.775048   6.299702 -61.030481      1
 -0.858363  -0.785615 -30.282755      1
  5.082259   2.793687 -51.050871      1
 35.518637   6.984672 -11.728825      1
 22.891735   1.702101 -18.302128      1
  4.874331  17.137996 -33.746583      1
 71.892409  -1.925153 -41.370744      1
 57.916511  11.540678 -33.478209      1
 15.408365  22.344367 -21.209574      1
 71.574490 -22.129099 -62.594762      1
 70.453931 -13.383656 -58.396862      1
 53.021113  19.243719 -29.111381      1
 69.548323   9.110659 -33.749232      1
 68.907770 -17.092546 -35.495050      1
 51.915696  -4.537503 -22.829014      1
 47.870215  -1.032009 -11.158075      1
 65.429957 -14.552523 -25.011476      1
 11.975687  16.258530 -20.014259      1
 22.824609   9.852538 -15.998537      1
 -3.255109   5.476980 -31.590253      1
 -3.071166   2.334827 -38.868967      1
 36.325010  12.534507 -53.700147      1
 14.862884  28.088342 -59.049023      1
 71.918304 -19.044568 -59.769783      1
 73.579594 -19.163503 -52.903961      1
 75.020679  -8.564335 -50.363588      1
 16.660797   0.095537 -50.097312      1
  5.496051  -6.635794 -42.718655      1
  9.503563  -1.994255 -47.285299      1
  5.054256  -3.891699 -43.163181      1
 10.081662 -10.113340 -34.916517      1
 18.868996  -8.175140 -20.741353      1
 14.561383  -8.311857 -29.565484      1
 34.863762  -5.184289 -15.313190      1
 24.606363  -3.372227 -20.679513      1
 22.730671  -8.002937 -27.853139      1
 29.354009 -11.691176 -30.082989      1
 17.474720  -7.869672 -38.668710      1
 28.390326  -9.951260 -39.141507      1
 14.773071  -9.190760 -43.302327      1
 20.834024 -10.781517 -47.076075      1
 63.771829 -16.083565 -49.453228      1
 58.374315 -12.447173 -57.862847      1
 62.623037 -20.280722 -44.852535      1
 53.033088 -19.971698 -59.112207      1
 63.957578 -18.270540 -37.268895      1
 51.310182  -6.007825 -52.540221      1
 58.285768 -17.065172 -32.979189      1
 54.372582 -15.584933 -41.164293      1
 50.979724 -12.079049 -47.317592      1
 49.509643 -15.511249 -53.881683      1
 38.805466  -8.841780 -58.218501      1
 41.538836 -15.512706 -44.526403      1
 46.598798 -16.159726 -36.512858      1
 50.286821 -10.115055 -25.848870      1
 38.016707 -14.993244 -51.381737      1
 41.183368  -8.204642 -19.776235      1
 38.269708 -12.803358 -30.088080      1
 34.982415  -8.924060 -41.769833      1
 31.055568 -11.860484 -50.041812      1
 26.145415  -3.369354 -52.654948      1
 60.783887 -30.865080 -33.885838      1
 -6.163268 -19.760034 -32.741066      1
-20.239339 -18.865865 -48.697834      1
 -7.531139  -7.059121 -51.061877      1
-20.020662 -41.489848 -70.137088      1
 49.821628 -32.352849 -13.426100      1
 44.063093 -47.276270 -80.763006      1
 -2.723220  -2.242106 -53.864774      1
 39.193511 -45.080560 -21.773601      1
 -0.471691  -8.727159 -42.618369      1
 12.712330 -13.869344   5.475807      1
 24.557505 -10.308939   5.386747      1
 16.628362  -7.197641  -7.706756      1
 -6.265399 -16.138925 -35.508582      1
  2.922326 -31.027467  -7.329148      1
 35.535798 -33.051649   3.147691      1
-15.411179 -23.512958 -38.488910      1
 62.376422 -39.042017 -44.508547      1
 -6.436108 -22.892292 -33.581509      1
  9.068122 -13.486171  -1.067199      1
 10.647990  -9.108265  -3.907230      1
 -5.410317 -24.371969 -20.825861      1
 25.712578 -38.824600  -6.432323      1
  9.848834 -16.940052   0.846181      1
 19.491909 -11.020921  10.548136      1
 21.757251  -4.737457  -2.896150      1
  1.232951 -47.740960 -70.788363      1
 41.737127 -30.393952   2.830732      1
 31.213843 -45.520194  -9.372936      1
 12.120329 -49.113088 -39.962683      1
 56.477349 -31.583531 -26.085701      1
 47.092105 -38.841241 -33.175545      1
 15.783207 -45.657354 -72.423821      1
 53.873988 -47.660279 -54.289527      1
 41.345900 -50.666161 -51.755812      1
 30.159809 -44.760568 -78.464945      1
 -0.141526  -8.467022 -40.114686      1
 34.923061  -9.408999 -67.416218      1
 50.185267  -6.792908 -61.444228      1
 19.879472  -5.342471 -61.026402      1
  3.130065   1.448815 -64.293667      1
 60.553141 -21.929998 -72.695701      1
 22.256135 -52.702748 -42.488725      1
 -6.920478 -14.540486 -29.384040      1
 -0.087723 -16.322778 -22.743451      1
 67.224506 -24.473892 -36.058494      1
-23.034002 -64.045513 -65.992629      1
 53.243340 -13.571389 -17.146862      1
-20.810233 -23.668037 -45.557508      1
 68.833547 -28.509421 -55.349100      1
 69.520703 -28.168925 -43.412536      1
 -8.200248 -57.267187 -72.785790      1
 44.878411 -10.074664  -8.768408      1
 37.380425 -53.557052 -68.518037      1
 61.638996 -19.520492 -25.789139      1
 47.675638 -51.274558 -71.806205      1
 13.197983 -15.617773 -17.110040      1
 16.224847 -56.122704 -69.494722      1
 68.946467 -29.845393 -68.151907      1
 20.786345  -2.701177 -13.071599      1
 36.897936  -0.639919   2.476061      1
 -5.115907  -7.554557 -45.682041      1
 -2.969283  -5.607184 -45.107633      1
  9.915261  -5.140639 -48.292303      1
  4.229321 -10.133670 -41.937909      1
 14.207264  -3.377685 -52.795116      1
  3.701877  -8.923144 -46.799787      1
  9.303182 -15.422906 -35.889830      1
 11.049819 -16.852600 -26.056545      1
 17.125832 -15.201433 -21.098624      1
 23.545534 -12.671140 -16.008678      1
 33.171337 -11.041485 -16.099322      1
 20.581841 -11.060334 -30.352316      1
 26.289434 -18.652642 -28.322263      1
 15.283144 -14.703615 -38.568445      1
 23.958197 -16.612406 -40.669235      1
 10.653400 -16.228466 -46.694528      1
 18.639725 -18.374832 -48.448331      1
 52.502173 -19.956740 -63.166213      1
 60.516097 -22.732234 -39.123806      1
 58.980629 -18.658167 -51.843487      1
 63.126511 -23.467902 -45.678937      1
 56.800123 -22.515597 -59.374217      1
 52.454057  -6.954235 -55.916313      1
 56.905280 -20.371220 -34.686667      1
 46.192547 -23.368825 -59.566349      1
 49.700253 -17.546438 -45.455969      1
 50.611244 -21.950157 -42.017078      1
 36.634229 -13.316297 -58.191550      1
 40.117862 -20.312580 -47.232127      1
 44.264890 -22.046965 -35.518651      1
 49.805299 -12.739358 -24.094221      1
 39.260952 -19.179860 -55.440291      1
 43.093999 -13.108091 -19.155150      1
 38.122602 -17.951676 -29.209291      1
 33.550312 -17.244578 -43.616253      1
 29.127715 -20.609895 -52.383060      1
 24.453438  -6.578575 -57.331129      1
  1.952593 -24.204614  -6.790092      1
 24.083988 -19.736258   8.567704      1
 34.410557  -5.804150   7.244810      1
 16.483515 -11.139656 -10.037041      1
 12.116724 -18.095541  -0.052998      1
 23.506867  -5.360904  -5.332197      1
 33.241462 -49.209322 -32.920678      1
 43.137004 -47.394167 -41.754568      1
 16.190808 -45.846487 -27.143771      1
 52.137764 -38.621313 -46.199437      1
 10.414950 -41.675838 -20.623877      1
 -2.908995 -41.173408 -36.508667      1
-35.540674 -45.830488 -49.900991      1
-32.959914 -29.598794 -59.474172      1
 -1.378216 -15.707101 -68.084252      1
 24.004101 -19.231978 -77.943756      1
 12.781790 -24.303780 -65.189450      1
 40.740505 -28.886680 -73.478993      1
-16.913030 -14.158217 -49.983609      1
 53.257174 -32.598007 -81.558606      1
 60.756425 -39.497078 -70.691641      1
 62.061298 -38.091459 -54.428529      1
-12.804093 -16.296975 -59.234912      1
 -7.696323 -32.852838 -31.694557      1
 51.817550 -38.294916 -37.813524      1
  9.800252 -19.680885 -11.222146      1
 46.159669  17.604695 -67.306079      1
 64.040413   8.010233 -19.209340      1
 60.022486  28.560606 -43.239025      1
 39.905564   5.535333 -68.290218      1
 53.843409  30.147228 -60.017385      1
 47.762330  34.870698 -38.293048      1
 24.535131   7.171119 -64.994506      1
 36.251563  38.654815 -54.305990      1
 57.383566  15.651180  -9.587800      1
 59.714504   8.007409 -64.594130      1
 76.175807   2.907650 -22.241689      1
 67.341042  21.317658 -45.135265      1
 55.179717   0.448362 -66.040665      1
 64.309927  20.034185 -60.962911      1
 63.894894  17.851330 -29.719322      1
 54.703656  26.648794 -22.670823      1
 73.343135  12.264978 -31.137089      1
 33.674389  21.855478 -62.701480      1
 69.706480  -1.145410 -67.903407      1
 80.325655  -7.154050 -34.349031      1
 70.605887   9.977114 -47.385333      1
 65.077324  -8.337911 -73.265287      1
 71.302007   4.144047 -59.184950      1
 75.331930   0.599114 -39.845914      1
 73.692259 -22.594688 -67.670297      1
 74.523431 -13.872798 -60.136604      1
 78.147022 -17.109722 -54.405869      1
 77.028796 -20.506354 -57.776324      1
 78.494321  -9.131780 -53.295948      1
 76.185578 -17.091661 -30.770985      1
 57.845411  -2.822033 -14.706661      1
 52.084048   1.717531  -4.601393      1
 70.800573  -9.931607 -19.009185      1
 62.867558 -33.032180 -32.383606      1
 52.228822 -34.647441  -9.102479      1
 43.367477 -47.758885 -84.529918      1
 39.919587 -48.387542 -19.782375      1
 64.171290 -41.089548 -44.118235      1
 -2.070355 -49.989966 -74.818265      1
 44.913584 -34.562549   6.587348      1
 31.968096 -48.288149  -7.733797      1
 11.667693 -53.070190 -40.463384      1
 58.554455 -33.412770 -22.774482      1
 47.813530 -42.776789 -31.484386      1
 13.235553 -47.429232 -76.567776      1
 54.605008 -52.121858 -54.281117      1
 41.253390 -54.974256 -50.550581      1
 27.889020 -46.145256 -82.630410      1
 34.403045  -8.373460 -68.552712      1
 49.328138  -6.106701 -64.087352      1
 19.054789  -4.510408 -63.058115      1
 60.928578 -22.334510 -76.266073      1
 22.883045 -56.950350 -43.226445      1
 55.686402 -13.776873 -14.363802      1
-10.858491 -61.770885 -76.372970      1
 47.178044  -8.355524  -5.562750      1
 36.476687 -58.325057 -71.055542      1
 64.017751 -20.052786 -22.853361      1
 47.644574 -56.188228 -74.728448      1
 13.570774 -59.804373 -72.367438      1
 72.762439 -31.723171 -56.652509      1
 72.091566 -33.603821 -72.146035      1
 -6.844197 -20.273597 -32.165174      1
 -2.147684   4.639463 -23.441869      1
  3.055718  11.011335 -19.354384      1
 -3.922463   1.702727 -28.270754      1
 -1.872837  -8.539074 -41.225686      1
 -1.166144   3.083366 -23.977602      1
  2.663273   4.512783 -16.788154      1
 15.346625  -6.489945  -9.456094      1
 -7.021243 -16.309247 -34.263029      1
 -7.681542  -5.042693 -29.186392      1
 -3.848616   2.858415 -23.538264      1
 -1.045243   3.104456 -16.805134      1
  2.325384  -4.031737 -13.136416      1
 -8.406096 -10.405786 -24.093997      1
 -5.573994 -10.728183 -29.487876      1
 13.015566  -4.811446 -16.621080      1
  1.993338 -16.155152 -20.716380      1
 -8.054466 -22.927474 -32.369431      1
  7.086139 -13.466383  -1.822906      1
  9.617073  -8.672829  -4.782113      1
 -6.475186 -24.350132 -20.291478      1
 23.159093  -3.678070  -3.016466      1
 -4.487922 -15.848766 -17.600205      1
 -3.602435  -3.232970 -30.280864      1
 -1.016399  -7.274550 -39.386699      1
 -7.697395 -14.995235 -28.964941      1
 -1.691721 -17.324619 -21.473917      1
 19.991551   2.757039 -13.879204      1
 11.318879 -14.410865 -16.275508      1
 21.142494  -2.473117 -11.641240      1
  9.113908  15.008507 -17.842793      1
 18.926149  11.216600 -13.772509      1
 -6.085187   3.350438 -32.282385      1
 -5.927995  -5.856496 -45.145389      1
 -5.795780  -1.118129 -40.649375      1
 -4.913099  -4.860652 -44.633893      1
 -8.745579  -6.099325 -50.433373      1
 -5.698234   9.422838 -35.043539      1
 -4.044952  -0.855464 -55.273520      1
 -2.924626   4.827800 -52.959174      1
 27.763080  -9.127875   6.856497      1
 14.012369  21.002326 -14.781228      1
 36.315325  23.479892  -4.536541      1
 38.169576   9.257354  -3.174163      1
 38.594273   2.433390   4.443573      1
 -2.485289  15.755167 -38.697273      1
  9.083068  32.326124 -32.761514      1
 13.314844  31.992779 -26.744463      1
 35.384795  36.453523 -15.994142      1
 30.848701  44.975252 -34.426259      1
 19.698602  48.048410 -50.498811      1
  4.446696  11.653824 -65.465260      1
  1.591163  23.028013 -39.495264      1
 15.715540  30.825279 -18.902171      1
 11.354315  33.692257 -62.536717      1
-25.613908 -20.699421 -50.574712      1
-24.427728 -43.563316 -73.737508      1
 -9.104384 -33.547279 -30.480801      1
-16.186741 -22.665020 -36.744186      1
  0.992270   2.747464 -65.929975      1
-28.262020 -69.185510 -68.712516      1
-23.120315 -23.329468 -44.320020      1
 13.087060 -13.212337   7.042644      1
 36.559005 -34.953294   7.081055      1
 25.826708 -40.697125  -5.359246      1
  8.410646 -18.087585   0.430567      1
 20.559357 -12.224587  12.471364      1
  0.237296 -24.156136  -7.403947      1
 15.085419 -11.423587 -11.755873      1
  8.458794 -18.484511 -12.033306      1
 23.471737  -3.950857  -6.430697      1
 24.884950 -21.263922  11.393783      1
 36.755968  -4.759842   9.142848      1
 12.090912 -18.500880   1.333627      1
  1.959825 -32.504206  -7.429019      1
-36.025516 -30.939923 -60.516214      1
-38.501872 -45.607782 -49.042044      1
 -4.050483 -45.679798 -36.931342      1
 10.541054 -44.000512 -19.577927      1
 17.040683 -48.941270 -26.078290      1
 33.064136 -52.416081 -32.398535      1
 44.069159 -50.139335 -40.775689      1
 72.851813 -28.966385 -42.915125      1
 53.378325 -43.980380 -45.500109      1
 75.497369 -24.984973 -48.191438      1
 74.137941 -27.206018 -53.856645      1
 69.319321 -24.894629 -32.245730      1
 10.292962 -23.432355 -69.859473      1
 -4.673348 -16.409752 -71.859255      1
 22.390308 -20.049707 -80.423228      1
 38.501215 -28.711693 -77.713532      1
 53.353025 -33.806515 -84.554880      1
 63.283123 -42.019148 -54.616610      1
 61.122576 -43.649575 -73.278572      1
-18.368392 -13.449403 -51.784013      1
-15.239707 -15.725336 -61.251214      1
 53.254220 -41.311323 -37.179781      1
