         x          y          z  Frame
 60.201797  -8.404503 -43.666524      1
  4.634462  23.022117 -13.689809      1
  6.489520  24.572576 -15.668852      1
 14.666692  29.083201 -18.274087      1
 25.223916  32.261972 -13.978964      1
  5.424064  19.318722   3.714955      1
 38.942027  23.196684  -7.662209      1
 32.791361  25.269808 -17.257426      1
 43.281243   4.038709 -35.725242      1
 66.004771  -9.712338 -29.912886      1
 62.104690 -13.846550 -39.016321      1
 61.181014  -2.324112 -13.698873      1
 64.776905  -5.688427 -35.244565      1
 53.496077   6.325445 -27.248234      1
 54.631496 -10.092737 -45.309494      1
 36.178144  -0.741248 -37.949101      1
 25.384985  28.847199 -26.537248      1
 63.546401 -13.882582 -33.787360      1
 63.769855  -7.337581 -39.820341      1
 47.688127   7.658281 -33.307250      1
 12.162305  20.791434   0.300703      1
 -0.891958  17.454154  -6.466779      1
  4.328076  19.377278   5.215990      1
 15.986410  17.831686   8.737769      1
 -6.340084  16.971259   4.161727      1
  1.830314  20.060377  12.803159      1
 11.766832  18.758767  16.065871      1
 16.048352   8.306258  14.581781      1
 -0.793452   8.382629   4.795301      1
  0.692593   7.763047  -4.081959      1
 19.312099   8.176528   4.173235      1
  7.981870   1.771759  -0.946753      1
 18.873164  25.371583  -2.892987      1
 39.837024  15.452505   2.582403      1
 10.089607   0.042998   5.959952      1
 47.303980  19.930631 -24.363968      1
 24.127266   4.324154 -35.358803      1
 38.119562  17.249524 -29.585098      1
 52.056342   6.981279  -4.628533      1
 51.994204  -4.323477 -39.039194      1
 62.666993  -7.177083 -23.577162      1
 60.827514  -1.410858 -32.191533      1
 46.377268  -6.546560 -41.049876      1
 56.019361  -3.214164 -34.202982      1
  7.070431  15.950631 -36.946596      1
  0.692670  16.236520  -9.343843      1
  2.045773  18.267992 -29.574272      1
 39.695423   7.188642   6.913860      1
 26.693631   9.136967   3.622512      1
 10.779189  25.821525 -15.535993      1
 67.737832  -7.903095 -33.404071      1
 59.058325   3.075543 -20.974832      1
 23.080999  27.402778  -2.506143      1
 60.703156 -12.358436 -43.329349      1
 65.692596 -11.251786 -45.417003      1
 51.436996  14.172512 -13.105403      1
 63.895414  -3.772620 -26.807174      1
 63.117253 -12.701157 -28.382120      1
 55.095084  -9.003771  -9.236746      1
 48.428087  -2.218975   0.978633      1
 59.805565 -10.683421 -20.634161      1
 17.795136  24.298883   0.121438      1
 27.078303  16.436531   2.216578      1
  1.558922  20.600323 -11.662105      1
 -0.737256  20.196572 -17.132408      1
 30.762801  14.367607 -35.255225      1
 17.733794  25.403468 -31.306623      1
 66.132876 -11.756791 -35.871394      1
 68.332682 -13.426298 -39.657747      1
 68.761024 -10.314611 -39.396470      1
 13.405364   5.246365 -29.202237      1
  6.133648   8.542518 -18.240275      1
  7.570129   8.233766 -25.881914      1
  2.760128  10.990526 -22.004998      1
 11.458252   3.748616 -12.722590      1
 21.097361   6.333388  -3.437757      1
 16.934581   3.895771  -7.728673      1
 36.472951  -2.006047  -1.231989      1
 27.939899   5.471614  -3.849439      1
 23.957045   0.958244 -10.061674      1
 31.166992  -1.789989 -12.369043      1
 17.568745   2.172708 -16.964413      1
 25.468637  -2.886951 -19.191542      1
 13.296585   2.997232 -22.093762      1
 19.190427   0.505837 -26.241123      1
 56.031530 -11.360962 -33.189800      1
 48.998999 -10.255531 -40.763623      1
 58.025626 -14.392456 -30.611781      1
 53.360508 -10.117943 -38.318638      1
 58.932606 -13.811348 -26.931833      1
 42.541263  -6.751252 -38.499213      1
 55.029404 -14.003318 -21.815769      1
 50.964567 -13.829877 -25.830533      1
 47.905903  -9.885767 -29.902543      1
 44.861880  -8.315044 -34.106383      1
 33.261632  -2.807419 -35.140232      1
 40.293824  -8.627557 -26.505064      1
 43.109611 -13.355901 -21.037392      1
 48.888988 -13.297170 -12.882084      1
