          x          y           z  Frame
  80.266594 -22.646532  -88.961646      1
   1.660529  -4.102051  -62.284649      1
   1.218980  -1.428381  -61.782607      1
   2.849375  10.104499  -57.112142      1
   4.807031  20.459148  -53.762552      1
  12.678193  -5.436961  -38.670719      1
  36.759154  17.730969  -46.240573      1
  28.411389  28.448685  -58.705142      1
  53.212907  -4.275804  -82.024973      1
  94.005193 -11.386135  -57.254216      1
  88.169630 -27.212274  -77.752396      1
  81.758134  10.411689  -30.310170      1
  84.840965  -6.492438  -70.883078      1
  64.211550  14.509863  -64.807049      1
  75.068803 -29.454422  -91.995916      1
  50.031599 -13.829758  -85.777015      1
  18.868973  15.021860  -72.978229      1
  91.376161 -22.778678  -67.295929      1
  83.527868 -14.722381  -79.928403      1
  55.322032   1.055447  -69.412439      1
  16.921070   4.638695  -39.646832      1
   7.512495 -14.738967  -55.761014      1
  10.367628  -6.380309  -33.834877      1
  15.197788   2.887837  -21.361740      1
  -5.308600 -13.992583  -33.794080      1
   2.026676  -3.464482  -20.425304      1
   8.924395   2.830042  -13.759508      1
  15.216184  -7.554379  -11.571928      1
   1.167808 -16.435504  -28.821557      1
   7.433887 -22.543991  -53.040097      1
  23.414623 -11.168142  -23.511243      1
  14.564985 -21.124706  -40.348620      1
  16.260616  12.637560  -37.261881      1
  41.158634  11.453648  -16.062007      1
  13.805740 -19.960759  -27.119377      1
  46.597260  26.403043  -63.511350      1
  33.133191  -8.742388  -87.475617      1
  37.552456  10.833062  -71.614132      1
  66.467325  16.481428  -19.799194      1
  67.334297 -13.904284  -84.265980      1
  90.314026  -0.904222  -44.830723      1
  75.174877   1.132864  -66.091336      1
  63.732364 -21.476646  -88.492789      1
  70.043154  -4.698829  -74.568969      1
  17.749232  -6.599180  -90.920581      1
   7.147054 -17.169782  -59.158199      1
  11.232636  -8.452663  -84.124779      1
  45.967765  -0.109491  -10.219241      1
  31.366078  -7.424188  -18.401063      1
   1.941865   5.028329  -59.709200      1
  92.727682  -7.878117  -65.208966      1
  72.104456  12.699864  -49.096604      1
  16.939692  16.371558  -36.327189      1
  84.855149 -31.923107  -86.627204      1
  90.132937 -28.808072  -89.844013      1
  58.089985  26.960842  -42.998586      1
  84.473190   3.037084  -55.196132      1
  90.974864 -17.519996  -55.176956      1
  75.364555  -8.796808  -25.290376      1
  61.720159  -4.276948  -14.376994      1
  86.786439 -13.118972  -39.573847      1
  17.056106   9.635217  -34.265214      1
  28.528148   5.227495  -21.432857      1
   2.033393 -10.520975  -63.624454      1
   3.091856 -11.988037  -72.054859      1
  36.657422   4.560323  -84.198639      1
  15.966345   8.195626  -78.645936      1
  95.565532 -22.672372  -72.049798      1
  96.501922 -26.148511  -77.349577      1
  95.051649 -19.417339  -77.272273      1
  22.837644 -11.771767  -78.989336      1
  14.294486 -14.725070  -67.641192      1
  16.619334 -11.601258  -76.367028      1
  12.925602 -13.857767  -74.500424      1
  19.503274 -10.453858  -55.229801      1
  27.296248 -10.939785  -33.584139      1
  24.043294 -11.646252  -44.206059      1
  47.917764  -9.877121  -24.171022      1
  35.820154  -9.431272  -30.045783      1
  34.757858 -11.731728  -44.045159      1
  44.518930 -10.538079  -45.208061      1
  27.978555  -8.348833  -58.184909      1
  39.634211 -10.154279  -58.728692      1
  24.412835 -12.636869  -68.008621      1
  30.742015 -16.463598  -70.628127      1
  77.077649 -23.429554  -73.234112      1
  67.760890 -30.256675  -86.038010      1
  82.283681 -18.371290  -65.871503      1
  71.906277 -33.893739  -82.791406      1
  83.476931 -18.891825  -56.118505      1
  58.295715 -29.564823  -83.290583      1
  78.425770 -12.272511  -51.279459      1
  72.254796 -15.524314  -61.515731      1
  67.202263 -21.815681  -70.079827      1
  61.424808 -27.614938  -78.098398      1
  46.367987 -22.553841  -81.046391      1
  58.861797 -14.746739  -66.934939      1
  62.936492 -16.596890  -55.351563      1
  68.902456 -13.120816  -38.619750      1
  50.694365 -24.735507  -74.493937      1
  58.125234  -9.415231  -30.069123      1
  53.492679 -13.772339  -48.352467      1
  48.431885 -15.405376  -62.763469      1
  41.098111 -21.411450  -71.961360      1
  34.244781 -16.696128  -79.695707      1
  84.104751 -31.926630  -48.289578      1
   6.833593 -33.649723  -63.884844      1
 -17.437187 -42.151767  -92.736282      1
  -1.804476 -18.649459  -91.871216      1
  -1.142174 -55.641342  -99.768876      1
  69.391185 -33.041863  -24.028518      1
  64.261365 -51.089619 -103.452837      1
   5.100303 -12.211598  -92.289663      1
  62.435948 -41.020273  -31.414270      1
   5.135304 -22.222227  -75.123432      1
  12.318946 -30.137253   12.886924      1
  24.134948 -22.294186   10.105347      1
  14.882471 -18.979452    1.853958      1
   4.646514 -28.371507  -65.768821      1
  14.573473 -47.687378   -6.910070      1
  44.031410 -30.728262   -2.447603      1
  -3.260251 -45.740662  -67.214956      1
  83.496797 -34.136955  -61.650029      1
   3.457393 -38.810206  -63.874104      1
   4.802237 -25.951914    4.700004      1
   7.534435 -21.557065    0.636400      1
  14.941228 -41.829939  -35.377824      1
  37.948792 -41.476786   -5.041670      1
   6.993463 -30.264360    9.673858      1
  18.607871 -28.467838   12.493480      1
  20.463831 -16.838821    3.430170      1
  17.874152 -58.306147 -103.437847      1
  57.051053 -30.942499  -10.510489      1
  49.933386 -41.084492  -16.763518      1
  36.190011 -56.689920  -49.050277      1
  77.993611 -32.195263  -36.912390      1
  72.874078 -38.995596  -44.368464      1
  36.597580 -56.922419 -105.191738      1
  70.776451 -36.866468  -73.469809      1
  63.150210 -42.798261  -66.095934      1
  53.116716 -53.410867 -105.553430      1
   7.855592 -21.259718  -70.012044      1
  44.952115 -19.028534  -92.736599      1
  58.888213 -27.462377  -93.021146      1
  27.601540 -15.805032  -97.512591      1
  11.453641 -13.538090  -99.612860      1
  71.958341 -36.743328  -95.051287      1
  50.693797 -53.551655  -55.793917      1
   9.598926 -25.770373  -55.612480      1
  19.913188 -27.829535  -40.131082      1
  89.402382 -25.922204  -52.886107      1
   3.415170 -60.013365  -78.619901      1
  73.936808 -23.287000  -23.688100      1
 -15.506254 -46.565244  -79.597348      1
  83.657807 -29.303029  -78.019766      1
  90.383682 -27.948846  -62.062129      1
  20.467703 -57.576232  -80.629994      1
  60.330269 -18.709658  -11.149477      1
  54.644912 -49.049829  -91.114381      1
  83.570345 -22.993711  -38.073388      1
