          x          y          z  Frame
 107.900577  -0.618065 -26.210620      1
  27.029099  -0.792481  18.776754      1
  28.887580   0.499130  20.751170      1
  39.587784   7.692494  28.433206      1
  47.595077  11.054025  33.508335      1
  31.828462 -15.132386  35.537689      1
  79.105384  17.852671  42.791070      1
  64.806186  25.334287  31.059280      1
  80.565403  10.977846 -18.494986      1
 120.461529  -5.423860  -9.206000      1
 115.845589  -9.885987 -23.680056      1
 110.527928  -5.261488  13.004934      1
 114.154563   1.118204 -14.548014      1
  98.223524  15.502661   1.484962      1
 100.846141  -4.671507 -29.164551      1
  73.055657  -1.706503 -23.210395      1
  49.680785  23.237348  15.351824      1
 119.734766 -10.410869 -17.647582      1
 112.643248   0.408401 -21.005746      1
  88.389454  17.422369  -9.291624      1
  45.369651  -8.277842  41.821054      1
  28.775754 -14.254737  27.934774      1
  29.464270 -19.718261  37.876304      1
  44.727728 -19.938340  50.341522      1
  10.608729 -27.211755  37.891313      1
  19.406818 -26.447373  45.686562      1
  33.458892 -25.318608  54.137995      1
  42.295500 -33.846281  49.660571      1
  20.042723 -34.477889  37.507547      1
  30.006664 -24.827393  31.002807      1
  55.273065 -26.502299  42.576145      1
  39.709041 -31.728202  32.951500      1
  55.334811   1.342218  47.865585      1
  87.221974  -0.397376  52.683241      1
  38.636316 -38.479702  37.933571      1
  82.720929  23.866303  16.129530      1
  51.548640  -0.966904 -20.180693      1
  69.068383  24.409761   2.767517      1
 102.493826  -2.093852  27.291868      1
  96.524235   0.531127 -21.175251      1
 117.637104  -5.827255   0.567616      1
 107.505636   3.403592  -8.461940      1
  88.279953  -2.388175 -26.104513      1
 101.664011   3.982513 -14.291715      1
  35.857246   0.336290  -6.959358      1
  29.373108 -15.311649  25.918858      1
  31.097274  -2.999984   3.598189      1
  89.410012 -15.970586  47.552756      1
  67.544281 -22.978986  44.874225      1
  34.376804   4.234182  23.357775      1
 119.769781  -2.480677 -12.597455      1
 106.288950   6.027897   9.299162      1
  58.402227  10.605202  46.054095      1
 111.318536  -7.823934 -27.601771      1
 116.350927  -2.361579 -28.605480      1
  97.241750  12.946387  23.669268      1
 113.283027  -2.914398  -3.921486      1
 119.773561  -9.518279  -9.372654      1
 111.465134 -16.142292  14.405784      1
 102.126900 -16.075030  31.159569      1
 117.242744 -12.899374   1.858620      1
  52.987793  -3.583724  47.553104      1
  68.349548 -10.686287  49.619302      1
  24.210964 -10.315640  22.196639      1
  23.934174  -5.959139  17.944646      1
  59.140480  19.349416 -11.982073      1
  42.197305  15.805977   4.750129      1
 120.436762  -4.463967 -18.534060      1
 123.376217  -6.183629 -23.310201      1
 121.380598  -2.467681 -21.415537      1
  44.591328 -10.529784  -5.169166      1
  37.450654 -16.335284  12.585822      1
  38.303724 -11.474677   2.569787      1
  33.559606 -12.812510   9.634642      1
  45.727015 -25.616023  16.267884      1
  58.795900 -27.117131  31.804171      1
  53.835983 -27.319920  23.610078      1
  84.762734 -22.071624  30.095931      1
  69.663301 -23.723957  30.905263      1
  64.718249 -26.539326  18.169733      1
  75.475604 -23.917963  13.929917      1
  54.663063 -23.487570   8.317969      1
  65.644047 -23.998697   3.339150      1
  47.771692 -19.330693   3.321064      1
  56.271003 -18.134557  -3.349057      1
 106.305730  -9.187358 -17.780023      1
  94.877837  -6.925699 -24.586577      1
 111.166964  -9.937726 -14.021874      1
 101.221762  -5.258128 -21.497373      1
 113.233422 -11.503693  -8.828007      1
  86.072951  -6.414126 -21.512819      1
 109.476569 -12.720723  -3.039533      1
 101.944806 -13.323503  -8.761341      1
  95.895606 -12.658474 -13.670791      1
  90.558829  -9.479394 -17.986676      1
  71.564297  -9.104243 -19.233372      1
  85.989173 -18.432798  -9.910778      1
  93.110192 -20.384583  -2.235791      1
 102.946632 -21.421262   8.517027      1
  78.040565 -14.839836 -13.884424      1
  94.253800 -22.210127  19.746425      1
  84.129933 -24.413129   6.767861      1
  75.782216 -22.615374  -4.245367      1
  67.330240 -17.656844  -9.597051      1
  57.429670 -11.110462 -14.063165      1
 118.580823 -30.995781 -10.271693      1
  29.707377 -36.372580  29.694456      1
 -10.816560 -32.854917   6.491165      1
  12.391458  -7.047553  10.089138      1
   3.235444 -44.675491 -21.265406      1
 113.013180 -42.835566  13.307194      1
  82.364190 -34.489717 -45.396112      1
  20.743550  -5.931837   4.472262      1
  97.937159 -51.832938   3.792893      1
  25.101646 -13.911440  20.787318      1
  57.203911 -47.217477  55.699629      1
  70.366845 -34.750479  62.063215      1
  54.504400 -32.978849  53.116936      1
  26.232505 -26.583443  27.807540      1
  48.508623 -57.453877  40.228866      1
  95.438930 -48.060400  44.648089      1
  14.825372 -48.010231  22.556868      1
 115.382649 -30.902922 -20.688801      1
  27.750626 -41.659861  29.153373      1
  47.236194 -42.604329  51.011055      1
  49.027978 -37.710136  49.794112      1
  41.815411 -49.570620  30.235716      1
  76.964514 -55.470855  33.039474      1
  49.083095 -46.238906  52.025944      1
  65.158108 -43.416020  60.429455      1
  61.545892 -29.919752  57.160373      1
  27.539688 -43.997815 -36.302208      1
 105.520763 -46.011660  30.067835      1
  86.802773 -53.272020  19.222124      1
  55.604507 -55.436586  -5.561162      1
 116.225126 -35.715469   0.223427      1
 107.052670 -45.740557  -8.816374      1
  50.221129 -40.725353 -43.662141      1
 100.975933 -38.687998 -30.341682      1
  93.089151 -52.258636 -28.377015      1
  68.968112 -36.720283 -44.736371      1
  28.811645 -16.542464  20.964359      1
  63.420266  -9.709488 -28.331844      1
  80.318493 -10.226198 -30.481752      1
  44.211298  -9.789096 -21.936836      1
  28.177090  -7.360094  -8.191788      1
  96.473662 -13.355501 -32.845520      1
  74.288001 -57.573391 -17.973817      1
  31.834055 -30.621612  28.204703      1
  43.593580 -39.992008  32.161355      1
 121.040221 -18.246038 -10.733539      1
   3.925416 -61.889857 -17.336454      1
 115.285812 -27.974047  15.059318      1
  -7.868435 -46.776918  13.667990      1
 114.261459 -17.013868 -26.513269      1
 121.154217 -18.421941 -17.466489      1
  30.620224 -59.394635 -30.142194      1
 103.876229 -29.023379  31.293494      1
  77.566521 -48.907880 -44.284520      1
 118.639190 -21.776061   1.497239      1
  91.507460 -39.543261 -42.513343      1
  55.864954 -36.941638  38.508107      1
  55.792990 -55.283238 -39.896602      1
 108.944864 -13.827154 -32.186208      1
  67.364366 -27.771060  47.276458      1
  93.469970 -25.335442  54.247491      1
  19.246653  -8.065697  14.009832      1
  22.925106  -8.481942  13.061512      1
  35.832514 -15.900684  -0.709782      1
  36.109832 -21.539538  10.045848      1
  41.089347 -16.283812  -9.640134      1
  31.320115 -15.950646   6.767725      1
  45.248000 -30.634543  15.996344      1
  54.040750 -36.298941  22.694320      1
  60.377735 -35.188017  30.381030      1
  71.247832 -31.771805  30.896333      1
  83.582930 -29.183377  28.501459      1
  63.343502 -32.915124  16.986688      1
  74.192190 -32.374544  12.102710      1
  52.897841 -29.853597   7.505130      1
  62.309383 -30.715531   0.584486      1
  44.812341 -24.753492   1.844531      1
  54.518794 -25.228812  -6.191219      1
  93.710973 -10.017848 -26.827906      1
 113.150804 -17.819598 -10.148614      1
 104.078574 -13.801080 -20.159825      1
 111.213843 -16.513305 -15.203638      1
  99.437063 -10.531945 -25.110335      1
  82.880018 -11.305696 -25.688315      1
 108.919882 -20.224776  -4.183382      1
  89.499792 -13.977160 -21.653129      1
  95.721256 -18.026224 -16.784708      1
 101.965024 -19.464444 -10.547719      1
  69.518948 -14.630795 -23.691987      1
  85.415351 -24.963515 -12.415265      1
  92.283318 -26.905134  -3.755801      1
 103.407904 -26.716972   7.572214      1
  78.590199 -18.796680 -18.176986      1
  95.485815 -28.985503  18.024748      1
  83.770796 -31.134819   5.254817      1
  73.444086 -30.384269  -6.271503      1
  66.240375 -24.151049 -13.056150      1
  54.087767 -17.630669 -18.295599      1
  48.300662 -51.514344  40.641749      1
  81.415521 -49.288768  54.330288      1
  86.777283 -30.614828  60.478007      1
  59.468601 -35.247001  47.463710      1
