          x          y          z  Frame
 104.373733  -6.867384 -19.625743      1
  31.800961   1.362449  11.828070      1
  36.449229   6.397182  12.091986      1
  50.645946  13.715338  20.632953      1
  56.056107  15.277564  24.473689      1
  36.929033 -13.206524  35.182391      1
  77.336696   6.687325  27.691424      1
  69.467131  12.033718  21.356534      1
  81.065040   4.710812 -13.449557      1
 113.560816  -7.188194  -9.853178      1
 108.843529 -11.879252 -19.352524      1
 102.571611  -7.741436   5.665575      1
 110.329475  -0.956959 -13.171807      1
  97.118675   6.010272  -0.973659      1
  96.307642  -9.379068 -22.246860      1
  73.160053  -5.567192 -16.619497      1
  58.259905  12.494157  12.064658      1
 111.846809 -13.056981 -15.009773      1
 108.823931  -4.719140 -16.738305      1
  88.191330   7.491773  -6.391741      1
  52.069490  -6.957561  42.728126      1
  33.652474 -11.125572  26.081642      1
  34.349295 -17.944379  37.217552      1
  51.849935 -17.905036  47.896942      1
  13.176853 -26.095207  35.616935      1
  24.665708 -24.785144  45.629471      1
  41.658495 -23.760891  53.479068      1
  48.973257 -32.705906  44.808862      1
  23.397752 -34.768696  33.286803      1
  33.019144 -24.361897  27.848637      1
  58.030508 -23.433382  35.177489      1
  42.340179 -31.336047  28.148589      1
  62.994086   3.386699  45.343284      1
  82.237781  -1.492710  32.298156      1
  43.151490 -39.105408  32.431093      1
  84.950388  13.885196   9.463669      1
  55.813488  -2.878623 -12.239004      1
  75.356598  13.519725   1.121080      1
  93.326857  -5.160699  18.035337      1
  94.252160  -3.896196 -16.725423      1
 109.142426  -8.559596  -3.107763      1
 104.549588   1.434944  -8.278280      1
  86.562132  -7.572152 -18.486918      1
  98.964497   0.617729 -12.051010      1
  41.995707  -0.295459  -0.129308      1
  33.147785 -13.029457  23.625486      1
  36.039929  -0.726302   6.185925      1
  85.307342 -12.088032  32.249018      1
  67.787606 -17.807946  34.439872      1
  42.571894  10.956809  13.882776      1
 114.263797  -3.155470 -12.435791      1
 101.103640  -0.035844   3.065991      1
  65.634969  12.315718  38.629273      1
 105.492264 -10.343657 -21.507691      1
 110.921292  -5.354783 -23.042135      1
  92.179875   6.632982  16.830627      1
 108.001542  -3.453245  -6.059351      1
 111.844982 -13.928767  -8.736139      1
 102.084438 -17.445286  10.224832      1
  93.175719 -14.232423  22.308173      1
 109.412976 -16.690077   0.178582      1
  58.157814  -2.269043  44.664982      1
  69.516970  -6.866870  38.239371      1
  28.840213  -8.691196  20.399690      1
  28.033578  -3.500092  16.352747      1
  66.014580  10.980835  -8.770482      1
  51.268716  10.658187   5.198022      1
 113.754960  -5.458575 -17.115971      1
 116.088445  -8.186825 -19.896313      1
 115.868409  -3.624710 -18.472789      1
  47.879969  -7.570395  -0.874521      1
  40.458843 -11.888518  14.266270      1
  43.232983  -6.455474   7.274058      1
  37.061388  -9.183168  12.120159      1
  47.190635 -22.512260  15.541055      1
  59.606315 -22.575405  26.918750      1
  54.795689 -25.263299  20.430031      1
  81.593542 -18.133668  24.464777      1
  68.758623 -18.680662  25.539009      1
  63.636749 -22.639207  16.162227      1
  72.219963 -20.492459  13.204114      1
  55.047226 -19.860796   9.460282      1
  64.368935 -21.870048   4.517895      1
  50.716929 -13.733837   7.107803      1
  56.987722 -14.078674   0.509983      1
  99.197725 -16.581164 -14.944013      1
  90.197007 -13.104142 -19.549263      1
 103.579985 -16.866893 -11.865970      1
  94.945959 -13.393926 -17.996511      1
 105.703645 -18.489013  -7.731497      1
  82.900147 -11.662752 -16.335894      1
 102.554818 -19.726698  -2.581696      1
  95.426332 -21.442418  -6.993344      1
  89.324026 -20.263184 -11.228081      1
  85.312681 -16.576032 -15.454267      1
  71.320794 -10.511710 -12.670234      1
  81.155684 -21.693301  -7.046219      1
  87.882203 -22.538516  -0.757045      1
  96.969789 -22.522310   7.633219      1
  74.981586 -17.287126 -10.494126      1
  87.855436 -19.466494  16.967946      1
  80.516041 -21.916158   7.169655      1
  72.549321 -21.840842  -1.910034      1
  66.761707 -15.501932  -5.261431      1
  59.747960  -9.329243  -7.732522      1
 108.737477 -36.840400  -7.716869      1
  31.789368 -38.420594  27.035464      1
  -4.614924 -29.377001   4.702984      1
  14.598497  -4.812794   9.568507      1
   9.928532 -38.082428 -10.850132      1
 104.554844 -45.614861  14.180691      1
  74.754280 -36.254635 -33.376405      1
  23.705985  -3.361570   6.474059      1
  89.178549 -52.814345   7.309933      1
  27.324199 -11.745309  20.016871      1
  58.411035 -48.075134  52.645500      1
  73.181524 -31.430391  55.676603      1
  57.978792 -30.095779  45.063456      1
  29.386325 -26.777076  25.997360      1
  47.574315 -56.030154  39.524658      1
  93.302748 -51.667690  41.284892      1
  16.365670 -48.257240  19.900500      1
 105.408758 -37.228724 -17.742755      1
  28.379729 -43.509006  26.209379      1
  49.214269 -43.279376  45.882849      1
  51.215377 -37.015362  42.472264      1
  41.660795 -49.281346  28.602033      1
  72.814385 -57.968847  31.992237      1
  50.865128 -46.671030  48.484434      1
  67.734863 -43.149845  57.798619      1
  64.776034 -25.914126  48.706502      1
  22.910355 -39.368464 -29.151503      1
 100.092405 -50.261641  28.711697      1
  80.883027 -56.130617  20.675819      1
  50.214559 -52.409497   0.374496      1
 106.249965 -39.987445   2.040723      1
  97.265402 -49.862937  -4.687392      1
  45.695306 -39.136064 -31.995168      1
  92.571706 -43.774172 -25.714289      1
  82.901709 -53.460888 -20.990284      1
  62.365179 -37.029685 -33.343074      1
  31.069671 -14.465289  20.460178      1
  62.617015 -13.469470 -20.845847      1
  77.004403 -15.214487 -22.936832      1
  46.943754 -11.274183 -12.748671      1
  31.865743  -5.798353  -1.789208      1
  89.996324 -18.368870 -26.350973      1
  66.390782 -55.098918 -10.002516      1
  34.285525 -30.925386  25.626496      1
  45.300024 -40.613322  28.203891      1
 112.028401 -23.911526  -9.087608      1
   7.966632 -56.294631  -7.821991      1
 106.432685 -30.749458  13.031899      1
  -1.810800 -46.214705  11.522465      1
 105.897638 -20.315278 -22.099862      1
 111.735065 -23.267346 -14.768936      1
  27.134203 -57.864137 -19.167941      1
  97.145424 -29.518868  25.900725      1
  68.372709 -48.071039 -32.380252      1
 109.832102 -27.071948   1.693578      1
  82.603679 -41.803407 -34.012744      1
  57.023200 -35.867411  33.204117      1
  49.129268 -54.142240 -29.260320      1
 101.401371 -17.125958 -26.548795      1
  67.842845 -24.198410  38.521854      1
  91.229152 -24.404839  41.186546      1
  21.586725  -5.643398  13.879264      1
  25.249368  -5.780094  13.547533      1
